날짜,월,일,평균기온,평균습도,평균풍속,일조시간,일조량,북위,해발고도,풍속계높이,u_2,P,Δ,γ (gamma),,,,,e_s,e_a,e_s-e_a,J(<=6),J(>7),dr,δ,Φ,ω_s,Ra,N,Rs,Rso,Rs/Rso,R_ns,R_nl,Rn,G,0.408(Rn-G),,,PET_new,PET_old
1974-01-01,1 ,1 ,-2.6,83.5,0.2,7.9,24.38,37.2,221.1,10.3,0.15 ,98.7 ,0.038 ,0.066 ,1.051 ,0.352 ,0.616 ,0.496 ,0.504 ,0.421 ,0.083 ,1 ,(1),1.033 ,-0.401 ,0.649 ,1.243 ,15.567 ,9.497 ,10.366 ,11.744 ,0.883 ,7.982 ,5.509 ,2.473 ,0,1.009 ,0.356 ,0.025 ,0.381 ,-0.254
1974-01-02,1 ,2 ,-0.6,88.5,0.1,7.7,20.02,37.2,221.1,10.3,0.07 ,98.7 ,0.043 ,0.066 ,1.025 ,0.389 ,0.596 ,0.246 ,0.585 ,0.517 ,0.067 ,2 ,(1),1.033 ,-0.400 ,0.649 ,1.245 ,15.622 ,9.507 ,10.232 ,11.786 ,0.868 ,7.878 ,5.323 ,2.556 ,0,1.043 ,0.405 ,0.010 ,0.415 ,-0.151
1974-01-03,1 ,3 ,-0.3,86,0.3,7.7,23.06,37.2,221.1,10.3,0.22 ,98.7 ,0.044 ,0.066 ,1.076 ,0.382 ,0.575 ,0.737 ,0.598 ,0.514 ,0.084 ,3 ,(1),1.033 ,-0.398 ,0.649 ,1.246 ,15.682 ,9.519 ,10.263 ,11.831 ,0.868 ,7.903 ,5.348 ,2.555 ,0,1.042 ,0.398 ,0.035 ,0.433 ,-0.217
1974-01-04,1 ,4 ,-0.6,90.5,0.5,3.4,14.22,37.2,221.1,10.3,0.37 ,98.7 ,0.043 ,0.066 ,1.127 ,0.366 ,0.562 ,1.230 ,0.585 ,0.529 ,0.056 ,4 ,(1),1.033 ,-0.396 ,0.649 ,1.248 ,15.745 ,9.531 ,6.745 ,11.879 ,0.568 ,5.194 ,2.684 ,2.509 ,0,1.024 ,0.375 ,0.038 ,0.413 ,0.035
1974-01-05,1 ,5 ,-3.3,92.3,0.6,2.9,14.24,37.2,221.1,10.3,0.45 ,98.7 ,0.036 ,0.066 ,1.152 ,0.322 ,0.589 ,1.491 ,0.479 ,0.442 ,0.037 ,5 ,(1),1.033 ,-0.395 ,0.649 ,1.249 ,15.814 ,9.544 ,6.356 ,11.930 ,0.533 ,4.894 ,2.371 ,2.523 ,0,1.030 ,0.331 ,0.032 ,0.363 ,0.034
1974-01-06,1 ,6 ,-3.3,83,0.6,7.10 ,21.0 ,37.2,221.1,10.3,0.45 ,98.7 ,0.036 ,0.066 ,1.152 ,0.322 ,0.589 ,1.491 ,0.479 ,0.397 ,0.081 ,6 ,(1),1.033 ,-0.393 ,0.649 ,1.251 ,15.886 ,9.557 ,9.872 ,11.985 ,0.824 ,7.602 ,4.988 ,2.613 ,0,1.066 ,0.343 ,0.071 ,0.414 ,-0.106
1974-01-07,1 ,7 ,-2.7,78,0.4,6.9,20.34,37.2,221.1,10.3,0.30 ,98.7 ,0.037 ,0.066 ,1.101 ,0.340 ,0.599 ,0.992 ,0.501 ,0.391 ,0.110 ,7 ,(1),1.033 ,-0.391 ,0.649 ,1.253 ,15.963 ,9.572 ,9.745 ,12.043 ,0.809 ,7.503 ,4.918 ,2.586 ,0,1.055 ,0.359 ,0.065 ,0.424 ,-0.135
1974-01-08,1 ,8 ,-0.6,90.5,0.8,4.8,20.27,37.2,221.1,10.3,0.60 ,98.7 ,0.043 ,0.066 ,1.203 ,0.351 ,0.539 ,1.968 ,0.585 ,0.529 ,0.056 ,8 ,(1),1.033 ,-0.388 ,0.649 ,1.255 ,16.045 ,9.587 ,8.028 ,12.104 ,0.663 ,6.181 ,3.514 ,2.667 ,0,1.088 ,0.382 ,0.059 ,0.441 ,-0.081
1974-01-09,1 ,9 ,-0.6,77.5,0.6,5.3,20.53,37.2,221.1,10.3,0.45 ,98.7 ,0.043 ,0.066 ,1.152 ,0.361 ,0.555 ,1.476 ,0.585 ,0.453 ,0.132 ,9 ,(1),1.033 ,-0.386 ,0.649 ,1.257 ,16.130 ,9.603 ,8.484 ,12.169 ,0.697 ,6.532 ,3.931 ,2.601 ,0,1.061 ,0.383 ,0.108 ,0.491 ,-0.119
1974-01-10,1 ,10 ,-1.7,74.3,0.7,7.7,25.18,37.2,221.1,10.3,0.52 ,98.7 ,0.040 ,0.066 ,1.177 ,0.340 ,0.561 ,1.729 ,0.539 ,0.401 ,0.139 ,10 ,(1),1.033 ,-0.384 ,0.649 ,1.259 ,16.220 ,9.620 ,10.546 ,12.237 ,0.862 ,8.121 ,5.445 ,2.676 ,0,1.092 ,0.371 ,0.134 ,0.506 ,-0.219
1974-01-11,1 ,11 ,-2,73,0.8,6.6,24.44,37.2,221.1,10.3,0.60 ,98.7 ,0.039 ,0.066 ,1.203 ,0.331 ,0.556 ,1.978 ,0.527 ,0.385 ,0.142 ,11 ,(1),1.032 ,-0.381 ,0.649 ,1.262 ,16.314 ,9.638 ,9.665 ,12.308 ,0.785 ,7.442 ,4.764 ,2.677 ,0,1.092 ,0.361 ,0.157 ,0.518 ,-0.175
