lo1,lo2,lo3,year,item,value
경상북도,안동시,,2011,면적,9
경상북도,안동시,,2012,면적,19
경상북도,안동시,,2013,면적,7.8
경상북도,안동시,,2014,면적,11
경상북도,안동시,,2015,면적,13
경상북도,안동시,,2016,면적,11
경상북도,안동시,,2017,면적,18
경상북도,안동시,,2019,면적,14
경상북도,안동시,,2011,생산량,21
경상북도,안동시,,2012,생산량,40
경상북도,안동시,,2013,생산량,23
경상북도,안동시,,2014,생산량,32
경상북도,안동시,,2015,생산량,15
경상북도,안동시,,2016,생산량,12
경상북도,안동시,,2017,생산량,32
경상북도,안동시,,2019,생산량,16
경상북도,안동시,,2011,단위생산량,233
경상북도,안동시,,2012,단위생산량,214
경상북도,안동시,,2013,단위생산량,295
경상북도,안동시,,2014,단위생산량,291
경상북도,안동시,,2015,단위생산량,115
경상북도,안동시,,2016,단위생산량,109
경상북도,안동시,,2017,단위생산량,175
경상북도,안동시,,2019,단위생산량,114
