lo1,lo2,lo3,year,item,value
충청북도,보은군,,2013,면적,8.8
충청북도,보은군,,2014,면적,3.2
충청북도,보은군,,2015,면적,2.0
충청북도,보은군,,2016,면적,2.0
충청북도,보은군,,2017,면적,2.6
충청북도,보은군,,2018,면적,2.8
충청북도,보은군,,2019,면적,3.6
충청북도,보은군,,2013,생산량,36.9
충청북도,보은군,,2014,생산량,10.4
충청북도,보은군,,2015,생산량,5.0
충청북도,보은군,,2016,생산량,0.8
충청북도,보은군,,2017,생산량,10.0
충청북도,보은군,,2018,생산량,12.2
충청북도,보은군,,2019,생산량,13.0
충청북도,보은군,,2013,단위생산량,420.0
충청북도,보은군,,2014,단위생산량,325.0
충청북도,보은군,,2015,단위생산량,250.0
충청북도,보은군,,2016,단위생산량,40.0
충청북도,보은군,,2017,단위생산량,384.6
충청북도,보은군,,2018,단위생산량,436.0
충청북도,보은군,,2019,단위생산량,361.0
