lo1,lo2,lo3,year,item,value
전라북도,부안군,부안읍,2009,면적,77.8
전라북도,부안군,부안읍,2010,면적,110
전라북도,부안군,부안읍,2011,면적,120
전라북도,부안군,부안읍,2012,면적,105
전라북도,부안군,부안읍,2013,면적,106
전라북도,부안군,부안읍,2014,면적,65.5
전라북도,부안군,부안읍,2015,면적,65
전라북도,부안군,부안읍,2016,면적,2.9
전라북도,부안군,부안읍,2017,면적,9
전라북도,부안군,부안읍,2018,면적,16
전라북도,부안군,부안읍,2019,면적,16
전라북도,부안군,부안읍,2020,면적,17
전라북도,부안군,주산면,2009,면적,4.2
전라북도,부안군,주산면,2010,면적,18
전라북도,부안군,주산면,2011,면적,29
전라북도,부안군,주산면,2012,면적,26
전라북도,부안군,주산면,2013,면적,25.6
전라북도,부안군,주산면,2014,면적,15.8
전라북도,부안군,주산면,2015,면적,15.9
전라북도,부안군,주산면,2016,면적,4.8
전라북도,부안군,주산면,2017,면적,11
전라북도,부안군,주산면,2018,면적,12
전라북도,부안군,주산면,2019,면적,12
전라북도,부안군,주산면,2020,면적,15
전라북도,부안군,동진면,2009,면적,62.1
전라북도,부안군,동진면,2010,면적,95
전라북도,부안군,동진면,2011,면적,110
전라북도,부안군,동진면,2012,면적,96
전라북도,부안군,동진면,2013,면적,101.3
전라북도,부안군,동진면,2014,면적,62.6
전라북도,부안군,동진면,2015,면적,62.9
전라북도,부안군,동진면,2016,면적,29
전라북도,부안군,동진면,2017,면적,30
전라북도,부안군,동진면,2019,면적,0.4
전라북도,부안군,동진면,2020,면적,0.4
전라북도,부안군,행안면,2009,면적,76.7
전라북도,부안군,행안면,2010,면적,58
전라북도,부안군,행안면,2011,면적,68
전라북도,부안군,행안면,2012,면적,59
전라북도,부안군,행안면,2013,면적,62.3
전라북도,부안군,행안면,2014,면적,38.5
전라북도,부안군,행안면,2015,면적,38.7
전라북도,부안군,행안면,2016,면적,11.8
전라북도,부안군,행안면,2017,면적,31
전라북도,부안군,행안면,2018,면적,46
전라북도,부안군,행안면,2019,면적,46
전라북도,부안군,행안면,2020,면적,52
전라북도,부안군,계화면,2009,면적,61.4
전라북도,부안군,계화면,2010,면적,22.9
전라북도,부안군,계화면,2011,면적,34
전라북도,부안군,계화면,2012,면적,29.5
전라북도,부안군,계화면,2013,면적,31.2
전라북도,부안군,계화면,2014,면적,19.3
전라북도,부안군,계화면,2015,면적,19.3
전라북도,부안군,계화면,2016,면적,1.5
전라북도,부안군,계화면,2018,면적,3
전라북도,부안군,계화면,2019,면적,3
전라북도,부안군,계화면,2020,면적,3
전라북도,부안군,보안면,2009,면적,67.9
전라북도,부안군,보안면,2010,면적,90
전라북도,부안군,보안면,2011,면적,90
전라북도,부안군,보안면,2012,면적,78.4
전라북도,부안군,보안면,2013,면적,82.8
전라북도,부안군,보안면,2014,면적,51.1
전라북도,부안군,보안면,2015,면적,51.4
전라북도,부안군,보안면,2016,면적,61
전라북도,부안군,보안면,2017,면적,46
전라북도,부안군,보안면,2018,면적,59
전라북도,부안군,보안면,2019,면적,59
전라북도,부안군,보안면,2020,면적,62
전라북도,부안군,변산면,2009,면적,4.2
전라북도,부안군,변산면,2010,면적,9
전라북도,부안군,변산면,2011,면적,21
전라북도,부안군,변산면,2012,면적,18.2
전라북도,부안군,변산면,2013,면적,19.3
전라북도,부안군,변산면,2014,면적,11.9
전라북도,부안군,변산면,2015,면적,11.9
전라북도,부안군,변산면,2016,면적,7
