lo1,lo2,lo3,year,item,value
충청남도,부여군,규암면,2017,면적,2.5
충청남도,부여군,구룡면,2013,면적,1.1
충청남도,부여군,홍산면,2013,면적,0.8
충청남도,부여군,홍산면,2017,면적,1
충청남도,부여군,옥산면,2020,면적,0.8
충청남도,부여군,남면,2018,면적,2
충청남도,부여군,남면,2019,면적,0.2
충청남도,부여군,남면,2020,면적,0.2
충청남도,부여군,충화면,2013,면적,0.2
충청남도,부여군,임천면,2013,면적,3.8
충청남도,부여군,임천면,2015,면적,0.8
충청남도,부여군,임천면,2017,면적,28.4
충청남도,부여군,임천면,2018,면적,46
충청남도,부여군,임천면,2019,면적,45
충청남도,부여군,임천면,2020,면적,41
충청남도,부여군,장암면,2020,면적,1
충청남도,부여군,석성면,2017,면적,1.6
충청남도,부여군,규암면,2017,생산량,5.6
충청남도,부여군,구룡면,2013,생산량,4
충청남도,부여군,홍산면,2013,생산량,2.9
충청남도,부여군,홍산면,2017,생산량,2.2
충청남도,부여군,옥산면,2020,생산량,2
충청남도,부여군,남면,2018,생산량,7
충청남도,부여군,남면,2019,생산량,0.6
충청남도,부여군,남면,2020,생산량,0.5
충청남도,부여군,충화면,2013,생산량,0.7
충청남도,부여군,임천면,2013,생산량,14
충청남도,부여군,임천면,2015,생산량,3.4
충청남도,부여군,임천면,2017,생산량,63.3
충청남도,부여군,임천면,2018,생산량,100
충청남도,부여군,임천면,2019,생산량,97
충청남도,부여군,임천면,2020,생산량,88.4
충청남도,부여군,장암면,2020,생산량,2.2
충청남도,부여군,석성면,2017,생산량,3.6
충청남도,부여군,옥산면,2020,단위생산량,250
충청남도,부여군,남면,2018,단위생산량,350
충청남도,부여군,남면,2019,단위생산량,363.6
충청남도,부여군,남면,2020,단위생산량,250
충청남도,부여군,임천면,2015,단위생산량,425
충청남도,부여군,임천면,2018,단위생산량,218
충청남도,부여군,임천면,2019,단위생산량,215.6
충청남도,부여군,임천면,2020,단위생산량,215.6
충청남도,부여군,장암면,2020,단위생산량,220
