lo1,lo2,lo3,year,item,value
강원도,춘천시,신북읍,2015,면적,0.6
강원도,춘천시,동면,2013,면적,0.1
강원도,춘천시,동면,2014,면적,0
강원도,춘천시,동면,2015,면적,0.1
강원도,춘천시,동내면,2013,면적,0.7
강원도,춘천시,동내면,2014,면적,0.3
강원도,춘천시,동내면,2015,면적,0.6
강원도,춘천시,동내면,2019,면적,0.4
강원도,춘천시,남면,2013,면적,0.7
강원도,춘천시,남면,2014,면적,0.7
강원도,춘천시,서면,2013,면적,0.3
강원도,춘천시,서면,2014,면적,0.2
강원도,춘천시,서면,2015,면적,0.3
강원도,춘천시,서면,2017,면적,0.2
강원도,춘천시,사북면,2013,면적,0.3
강원도,춘천시,사북면,2014,면적,0.1
강원도,춘천시,사북면,2015,면적,0.3
강원도,춘천시,사북면,2016,면적,0.2
강원도,춘천시,사북면,2018,면적,0.9
강원도,춘천시,북산면,2019,면적,0.5
강원도,춘천시,신북읍,2015,생산량,1.8
강원도,춘천시,동면,2013,생산량,0.4
강원도,춘천시,동면,2014,생산량,0.1
강원도,춘천시,동면,2015,생산량,0.3
강원도,춘천시,동내면,2013,생산량,2.2
강원도,춘천시,동내면,2014,생산량,0.9
강원도,춘천시,동내면,2015,생산량,1.7
강원도,춘천시,동내면,2019,생산량,1.2
강원도,춘천시,남면,2013,생산량,2.2
강원도,춘천시,남면,2014,생산량,2
강원도,춘천시,서면,2013,생산량,0.8
강원도,춘천시,서면,2014,생산량,0.5
강원도,춘천시,서면,2015,생산량,0.7
강원도,춘천시,서면,2017,생산량,1
강원도,춘천시,사북면,2013,생산량,0.8
강원도,춘천시,사북면,2014,생산량,0.2
강원도,춘천시,사북면,2015,생산량,0.8
강원도,춘천시,사북면,2016,생산량,0.9
강원도,춘천시,사북면,2018,생산량,0
강원도,춘천시,북산면,2019,생산량,1.3
강원도,춘천시,신북읍,2015,단위생산량,304
강원도,춘천시,동면,2013,단위생산량,312
강원도,춘천시,동면,2014,단위생산량,250
강원도,춘천시,동면,2015,단위생산량,270
강원도,춘천시,동내면,2013,단위생산량,327
강원도,춘천시,동내면,2014,단위생산량,300
강원도,춘천시,동내면,2015,단위생산량,285
강원도,춘천시,동내면,2019,단위생산량,300
강원도,춘천시,남면,2013,단위생산량,335
강원도,춘천시,남면,2014,단위생산량,300
강원도,춘천시,서면,2013,단위생산량,312
강원도,춘천시,서면,2014,단위생산량,250
강원도,춘천시,서면,2015,단위생산량,280
강원도,춘천시,서면,2017,단위생산량,500
강원도,춘천시,사북면,2013,단위생산량,288
강원도,춘천시,사북면,2014,단위생산량,200
강원도,춘천시,사북면,2015,단위생산량,305
강원도,춘천시,사북면,2016,단위생산량,450
강원도,춘천시,사북면,2018,단위생산량,0
강원도,춘천시,북산면,2019,단위생산량,260
