lo1,lo2,lo3,year,item,value
충청북도,충주시,,2013,면적,2.8
충청북도,충주시,,2014,면적,2.6
충청북도,충주시,,2015,면적,2.6
충청북도,충주시,,2016,면적,2.6
충청북도,충주시,,2017,면적,2.5
충청북도,충주시,,2018,면적,1.9
충청북도,충주시,,2019,면적,1.3
충청북도,충주시,,2013,생산량,8.6
충청북도,충주시,,2014,생산량,6.6
충청북도,충주시,,2015,생산량,6.0
충청북도,충주시,,2016,생산량,6.0
충청북도,충주시,,2017,생산량,5.8
충청북도,충주시,,2018,생산량,5.9
충청북도,충주시,,2019,생산량,1.0
충청북도,충주시,,2013,단위생산량,310.0
충청북도,충주시,,2014,단위생산량,254.0
충청북도,충주시,,2015,단위생산량,231.0
충청북도,충주시,,2016,단위생산량,231.0
충청북도,충주시,,2017,단위생산량,230.0
충청북도,충주시,,2018,단위생산량,311.0
충청북도,충주시,,2019,단위생산량,77.0
