lo1,lo2,lo3,year,item,value
강원도,동해시,망상동,2013,면적,5
강원도,동해시,망상동,2014,면적,5
강원도,동해시,망상동,2015,면적,5
강원도,동해시,망상동,2016,면적,4
강원도,동해시,망상동,2017,면적,3.6
강원도,동해시,망상동,2018,면적,3.6
강원도,동해시,망상동,2019,면적,3.2
강원도,동해시,망상동,2013,생산량,9.9
강원도,동해시,망상동,2014,생산량,9.9
강원도,동해시,망상동,2015,생산량,9.9
강원도,동해시,망상동,2016,생산량,7.9
강원도,동해시,망상동,2017,생산량,7.6
강원도,동해시,망상동,2018,생산량,7.8
강원도,동해시,망상동,2019,생산량,6.8
강원도,동해시,망상동,2013,단위생산량,198
강원도,동해시,망상동,2014,단위생산량,198
강원도,동해시,망상동,2015,단위생산량,198
강원도,동해시,망상동,2016,단위생산량,198
강원도,동해시,망상동,2017,단위생산량,210
강원도,동해시,망상동,2018,단위생산량,216
강원도,동해시,망상동,2019,단위생산량,212.5
