lo1,lo2,lo3,year,item,value
강원도,강릉시,,2013,면적,1.5
강원도,강릉시,,2014,면적,0.5
강원도,강릉시,,2015,면적,2.2
강원도,강릉시,,2016,면적,0.5
강원도,강릉시,,2017,면적,1.3
강원도,강릉시,,2018,면적,1.3
강원도,강릉시,,2019,면적,1.8
강원도,강릉시,,2013,생산량,3.2
강원도,강릉시,,2014,생산량,1.4
강원도,강릉시,,2015,생산량,4.2
강원도,강릉시,,2016,생산량,1.6
강원도,강릉시,,2017,생산량,2.4
강원도,강릉시,,2018,생산량,3.4
강원도,강릉시,,2019,생산량,4.6
강원도,강릉시,,2013,단위생산량,215
강원도,강릉시,,2014,단위생산량,280
강원도,강릉시,,2015,단위생산량,196
강원도,강릉시,,2016,단위생산량,320
강원도,강릉시,,2017,단위생산량,183
강원도,강릉시,,2018,단위생산량,260
강원도,강릉시,,2019,단위생산량,258
