lo1,lo2,lo3,year,item,value
경상남도,거제시,,2011,면적,1.4
경상남도,거제시,,2012,면적,1
경상남도,거제시,,2013,면적,1
경상남도,거제시,,2014,면적,5
경상남도,거제시,,2015,면적,5
경상남도,거제시,,2016,면적,3.3
경상남도,거제시,,2017,면적,2.2
경상남도,거제시,,2018,면적,2.1
경상남도,거제시,,2019,면적,2.1
경상남도,거제시,,2020,면적,1.4
경상남도,거제시,,2011,생산량,1
경상남도,거제시,,2012,생산량,2.1
경상남도,거제시,,2013,생산량,3.2
경상남도,거제시,,2014,생산량,15.5
경상남도,거제시,,2015,생산량,15.5
경상남도,거제시,,2016,생산량,10
경상남도,거제시,,2017,생산량,7
경상남도,거제시,,2018,생산량,7.9
경상남도,거제시,,2019,생산량,7.8
경상남도,거제시,,2020,생산량,6.3
경상남도,거제시,,2011,단위생산량,71
경상남도,거제시,,2012,단위생산량,210
경상남도,거제시,,2013,단위생산량,320
경상남도,거제시,,2014,단위생산량,310
경상남도,거제시,,2015,단위생산량,310
경상남도,거제시,,2016,단위생산량,303
경상남도,거제시,,2017,단위생산량,318
경상남도,거제시,,2018,단위생산량,372.3
경상남도,거제시,,2019,단위생산량,372.3
경상남도,거제시,,2020,단위생산량,452.0
