lo1,lo2,lo3,year,item,value
전라남도,고흥군,,2012,면적,400
전라남도,고흥군,,2013,면적,230
전라남도,고흥군,,2014,면적,56
전라남도,고흥군,,2015,면적,57
전라남도,고흥군,,2016,면적,55
전라남도,고흥군,,2017,면적,84
전라남도,고흥군,,2018,면적,38
전라남도,고흥군,,2019,면적,11
전라남도,고흥군,,2012,생산량,1652
전라남도,고흥군,,2013,생산량,1017
전라남도,고흥군,,2014,생산량,221
전라남도,고흥군,,2015,생산량,275
전라남도,고흥군,,2016,생산량,257
전라남도,고흥군,,2017,생산량,715
전라남도,고흥군,,2018,생산량,410
전라남도,고흥군,,2019,생산량,71
전라남도,고흥군,,2012,단위생산량,413
전라남도,고흥군,,2013,단위생산량,442
전라남도,고흥군,,2014,단위생산량,395
전라남도,고흥군,,2015,단위생산량,482
전라남도,고흥군,,2016,단위생산량,467
전라남도,고흥군,,2017,단위생산량,851
전라남도,고흥군,,2018,단위생산량,1079
전라남도,고흥군,,2019,단위생산량,645
