lo1,lo2,lo3,year,item,value
전라북도,군산시,,2009,면적,514
전라북도,군산시,,2010,면적,978
전라북도,군산시,,2011,면적,986
전라북도,군산시,,2012,면적,629
전라북도,군산시,,2013,면적,153
전라북도,군산시,,2014,면적,182
전라북도,군산시,,2015,면적,119
전라북도,군산시,,2016,면적,262
전라북도,군산시,,2017,면적,186
전라북도,군산시,,2018,면적,148
전라북도,군산시,,2009,생산량,2086
전라북도,군산시,,2010,생산량,4060
전라북도,군산시,,2011,생산량,3924
전라북도,군산시,,2012,생산량,2928
전라북도,군산시,,2013,생산량,835
전라북도,군산시,,2014,생산량,546
전라북도,군산시,,2015,생산량,540
전라북도,군산시,,2016,생산량,978
전라북도,군산시,,2017,생산량,500
전라북도,군산시,,2018,생산량,370
전라북도,군산시,,2009,단위생산량,406
전라북도,군산시,,2010,단위생산량,415
전라북도,군산시,,2011,단위생산량,398
전라북도,군산시,,2012,단위생산량,481
전라북도,군산시,,2013,단위생산량,546
전라북도,군산시,,2014,단위생산량,382
전라북도,군산시,,2015,단위생산량,453
전라북도,군산시,,2016,단위생산량,373
전라북도,군산시,,2017,단위생산량,269
전라북도,군산시,,2018,단위생산량,250
