lo1,lo2,lo3,year,item,value
경상남도,합천군,,2011,면적,318
경상남도,합천군,,2012,면적,224
경상남도,합천군,,2013,면적,192
경상남도,합천군,,2014,면적,223
경상남도,합천군,,2015,면적,232
경상남도,합천군,,2016,면적,237
경상남도,합천군,,2017,면적,204
경상남도,합천군,,2018,면적,58
경상남도,합천군,,2019,면적,202
경상남도,합천군,,2011,생산량,1329
경상남도,합천군,,2012,생산량,874
경상남도,합천군,,2013,생산량,742
경상남도,합천군,,2014,생산량,1024
경상남도,합천군,,2015,생산량,766
경상남도,합천군,,2016,생산량,830
경상남도,합천군,,2017,생산량,714
경상남도,합천군,,2018,생산량,203
경상남도,합천군,,2019,생산량,706
경상남도,합천군,,2011,단위생산량,418
경상남도,합천군,,2012,단위생산량,390
경상남도,합천군,,2013,단위생산량,387
경상남도,합천군,,2014,단위생산량,459
경상남도,합천군,,2015,단위생산량,330
경상남도,합천군,,2016,단위생산량,350
경상남도,합천군,,2017,단위생산량,350
경상남도,합천군,,2018,단위생산량,350
경상남도,합천군,,2019,단위생산량,349
