lo1,lo2,lo3,year,item,value
강원도,홍천군,홍천읍,2015,면적,0.1
강원도,홍천군,홍천읍,2016,면적,0.1
강원도,홍천군,홍천읍,2017,면적,1
강원도,홍천군,홍천읍,2018,면적,0.6
강원도,홍천군,화촌면,2017,면적,1.5
강원도,홍천군,화촌면,2018,면적,0.9
강원도,홍천군,동면,2015,면적,0.6
강원도,홍천군,동면,2016,면적,0.5
강원도,홍천군,동면,2017,면적,1.2
강원도,홍천군,동면,2018,면적,0.7
강원도,홍천군,남면,2014,면적,1.1
강원도,홍천군,서면,2015,면적,0.1
강원도,홍천군,서면,2016,면적,0.1
강원도,홍천군,서면,2017,면적,1
강원도,홍천군,서면,2018,면적,0.6
강원도,홍천군,북방면,2015,면적,0.1
강원도,홍천군,북방면,2016,면적,0.1
강원도,홍천군,북방면,2017,면적,0.8
강원도,홍천군,북방면,2018,면적,0.5
강원도,홍천군,홍천읍,2015,생산량,0.1
강원도,홍천군,홍천읍,2016,생산량,0.1
강원도,홍천군,홍천읍,2017,생산량,2.2
강원도,홍천군,홍천읍,2018,생산량,2.4
강원도,홍천군,화촌면,2017,생산량,2.8
강원도,홍천군,화촌면,2018,생산량,3.1
강원도,홍천군,동면,2015,생산량,0.7
강원도,홍천군,동면,2016,생산량,0.6
강원도,홍천군,동면,2017,생산량,2.5
강원도,홍천군,동면,2018,생산량,2.7
강원도,홍천군,남면,2014,생산량,1.4
강원도,홍천군,서면,2015,생산량,0.1
강원도,홍천군,서면,2016,생산량,0.1
강원도,홍천군,서면,2017,생산량,1.9
강원도,홍천군,서면,2018,생산량,2.1
강원도,홍천군,북방면,2015,생산량,0.1
강원도,홍천군,북방면,2016,생산량,0.1
강원도,홍천군,북방면,2017,생산량,1.9
강원도,홍천군,북방면,2018,생산량,2.1
강원도,홍천군,홍천읍,2015,단위생산량,100
강원도,홍천군,홍천읍,2016,단위생산량,100
강원도,홍천군,홍천읍,2017,단위생산량,220
강원도,홍천군,홍천읍,2018,단위생산량,402.4
강원도,홍천군,화촌면,2017,단위생산량,186.7
강원도,홍천군,화촌면,2018,단위생산량,341.4
강원도,홍천군,동면,2015,단위생산량,116.7
강원도,홍천군,동면,2016,단위생산량,120
강원도,홍천군,동면,2017,단위생산량,208.3
강원도,홍천군,동면,2018,단위생산량,381
강원도,홍천군,남면,2014,단위생산량,125.4
강원도,홍천군,서면,2015,단위생산량,100
강원도,홍천군,서면,2016,단위생산량,100
강원도,홍천군,서면,2017,단위생산량,190
강원도,홍천군,서면,2018,단위생산량,347.5
강원도,홍천군,북방면,2015,단위생산량,100
강원도,홍천군,북방면,2016,단위생산량,100
강원도,홍천군,북방면,2017,단위생산량,237.5
강원도,홍천군,북방면,2018,단위생산량,434.4
