lo1,lo2,lo3,year,item,value
전라남도,장흥군,,2012,면적,92
전라남도,장흥군,,2013,면적,141
전라남도,장흥군,,2014,면적,114
전라남도,장흥군,,2015,면적,107
전라남도,장흥군,,2016,면적,220
전라남도,장흥군,,2017,면적,142
전라남도,장흥군,,2018,면적,125
전라남도,장흥군,,2019,면적,80
전라남도,장흥군,,2012,생산량,210
전라남도,장흥군,,2013,생산량,438
전라남도,장흥군,,2014,생산량,432
전라남도,장흥군,,2015,생산량,433
전라남도,장흥군,,2016,생산량,763
전라남도,장흥군,,2017,생산량,511
전라남도,장흥군,,2018,생산량,401
전라남도,장흥군,,2019,생산량,279
전라남도,장흥군,,2012,단위생산량,228
전라남도,장흥군,,2013,단위생산량,311
전라남도,장흥군,,2014,단위생산량,379
전라남도,장흥군,,2015,단위생산량,405
전라남도,장흥군,,2016,단위생산량,347
전라남도,장흥군,,2017,단위생산량,359
전라남도,장흥군,,2018,단위생산량,321
전라남도,장흥군,,2019,단위생산량,349
