lo1,lo2,lo3,year,item,value
전라북도,장수군,산서면,2014,면적,0.8
전라북도,장수군,산서면,2015,면적,0.8
전라북도,장수군,산서면,2016,면적,0.4
전라북도,장수군,산서면,2017,면적,0.4
전라북도,장수군,산서면,2018,면적,0.7
전라북도,장수군,산서면,2019,면적,0.58
전라북도,장수군,산서면,2014,생산량,2.4
전라북도,장수군,산서면,2015,생산량,2.4
전라북도,장수군,산서면,2016,생산량,1.3
전라북도,장수군,산서면,2017,생산량,1.3
전라북도,장수군,산서면,2018,생산량,2.8
전라북도,장수군,산서면,2019,생산량,2.64
전라북도,장수군,산서면,2014,단위생산량,300
전라북도,장수군,산서면,2015,단위생산량,300
전라북도,장수군,산서면,2016,단위생산량,325
전라북도,장수군,산서면,2017,단위생산량,325
전라북도,장수군,산서면,2018,단위생산량,420
전라북도,장수군,산서면,2019,단위생산량,455
