lo1,lo2,lo3,year,item,value
전라북도,정읍시,,2009,면적,206.0
전라북도,정읍시,,2010,면적,560.0
전라북도,정읍시,,2011,면적,550.0
전라북도,정읍시,,2012,면적,503.4
전라북도,정읍시,,2013,면적,150.0
전라북도,정읍시,,2014,면적,150.0
전라북도,정읍시,,2015,면적,131.0
전라북도,정읍시,,2016,면적,560.0
전라북도,정읍시,,2017,면적,561.0
전라북도,정읍시,,2018,면적,400.0
전라북도,정읍시,,2019,면적,323.0
전라북도,정읍시,,2020,면적,255.0
전라북도,정읍시,,2009,생산량,816.7
전라북도,정읍시,,2010,생산량,2240.0
전라북도,정읍시,,2011,생산량,1947.0
전라북도,정읍시,,2012,생산량,2099.0
전라북도,정읍시,,2013,생산량,340.0
전라북도,정읍시,,2014,생산량,367.0
전라북도,정읍시,,2015,생산량,492.0
전라북도,정읍시,,2016,생산량,2240.0
전라북도,정읍시,,2017,생산량,2219.0
전라북도,정읍시,,2018,생산량,1600.0
전라북도,정읍시,,2019,생산량,526.4
전라북도,정읍시,,2020,생산량,382.5
전라북도,정읍시,,2009,단위생산량,396.0
전라북도,정읍시,,2010,단위생산량,400.0
전라북도,정읍시,,2011,단위생산량,354.0
전라북도,정읍시,,2012,단위생산량,477.0
전라북도,정읍시,,2013,단위생산량,510.0
전라북도,정읍시,,2014,단위생산량,244.0
전라북도,정읍시,,2015,단위생산량,376.0
전라북도,정읍시,,2016,단위생산량,400.0
전라북도,정읍시,,2017,단위생산량,401.0
전라북도,정읍시,,2018,단위생산량,400.0
전라북도,정읍시,,2019,단위생산량,163.5
전라북도,정읍시,,2020,단위생산량,150.0
