lo1,lo2,lo3,year,item,value
경상남도,진주시,,2009,면적,190.0
경상남도,진주시,,2010,면적,284.0
경상남도,진주시,,2011,면적,211.0
경상남도,진주시,,2012,면적,129.0
경상남도,진주시,,2013,면적,129.0
경상남도,진주시,,2014,면적,121.8
경상남도,진주시,,2015,면적,137.4
경상남도,진주시,,2016,면적,137.4
경상남도,진주시,,2017,면적,98.0
경상남도,진주시,,2018,면적,99.0
경상남도,진주시,,2019,면적,103.4
경상남도,진주시,,2009,생산량,665.0
경상남도,진주시,,2010,생산량,741.0
경상남도,진주시,,2011,생산량,695.9
경상남도,진주시,,2012,생산량,508.0
경상남도,진주시,,2013,생산량,530.1
경상남도,진주시,,2014,생산량,497.6
경상남도,진주시,,2015,생산량,637.5
경상남도,진주시,,2016,생산량,627.0
경상남도,진주시,,2017,생산량,386.4
경상남도,진주시,,2018,생산량,400.9
경상남도,진주시,,2019,생산량,327.6
경상남도,진주시,,2009,단위생산량,350.0
경상남도,진주시,,2010,단위생산량,261.0
경상남도,진주시,,2011,단위생산량,330.0
경상남도,진주시,,2012,단위생산량,394.0
경상남도,진주시,,2013,단위생산량,411.0
경상남도,진주시,,2014,단위생산량,408.0
경상남도,진주시,,2015,단위생산량,464.0
경상남도,진주시,,2016,단위생산량,456.0
경상남도,진주시,,2017,단위생산량,394.0
경상남도,진주시,,2018,단위생산량,405.0
경상남도,진주시,,2019,단위생산량,317.0
