lo1,lo2,lo3,year,item,value
경상남도,밀양시,,2012,면적,35
경상남도,밀양시,,2013,면적,9
경상남도,밀양시,,2014,면적,7
경상남도,밀양시,,2015,면적,23
경상남도,밀양시,,2016,면적,20
경상남도,밀양시,,2017,면적,20
경상남도,밀양시,,2018,면적,11
경상남도,밀양시,,2019,면적,30
경상남도,밀양시,,2020,면적,25
경상남도,밀양시,,2012,생산량,158
경상남도,밀양시,,2013,생산량,44
경상남도,밀양시,,2014,생산량,34
경상남도,밀양시,,2015,생산량,54
경상남도,밀양시,,2016,생산량,44
경상남도,밀양시,,2017,생산량,68
경상남도,밀양시,,2018,생산량,42
경상남도,밀양시,,2019,생산량,104
경상남도,밀양시,,2020,생산량,86
경상남도,밀양시,,2012,단위생산량,451
경상남도,밀양시,,2013,단위생산량,489
경상남도,밀양시,,2014,단위생산량,486
경상남도,밀양시,,2015,단위생산량,235
경상남도,밀양시,,2016,단위생산량,220
경상남도,밀양시,,2017,단위생산량,340
경상남도,밀양시,,2018,단위생산량,382
경상남도,밀양시,,2019,단위생산량,347
경상남도,밀양시,,2020,단위생산량,344
