lo1,lo2,lo3,year,item,value
전라남도,목포시,,2014,면적,5.9
전라남도,목포시,,2015,면적,2
전라남도,목포시,,2016,면적,2
전라남도,목포시,,2017,면적,3
전라남도,목포시,,2018,면적,3
전라남도,목포시,,2019,면적,1
전라남도,목포시,,2020,면적,2
전라남도,목포시,,2014,생산량,14.7
전라남도,목포시,,2015,생산량,5
전라남도,목포시,,2016,생산량,5.8
전라남도,목포시,,2017,생산량,11.1
전라남도,목포시,,2018,생산량,11
전라남도,목포시,,2019,생산량,3.7
전라남도,목포시,,2020,생산량,6.2
전라남도,목포시,,2014,단위생산량,250
전라남도,목포시,,2015,단위생산량,250
전라남도,목포시,,2016,단위생산량,290
전라남도,목포시,,2017,단위생산량,369
전라남도,목포시,,2018,단위생산량,366
전라남도,목포시,,2019,단위생산량,370
전라남도,목포시,,2020,단위생산량,310
