lo1,lo2,lo3,year,item,value
경상남도,남해군,,2009,면적,25
경상남도,남해군,,2010,면적,20
경상남도,남해군,,2011,면적,20
경상남도,남해군,,2012,면적,20
경상남도,남해군,,2013,면적,12
경상남도,남해군,,2014,면적,15
경상남도,남해군,,2015,면적,13
경상남도,남해군,,2016,면적,14
경상남도,남해군,,2017,면적,12.7
경상남도,남해군,,2018,면적,11.2
경상남도,남해군,,2019,면적,3.3
경상남도,남해군,,2020,면적,6
경상남도,남해군,,2009,생산량,90
경상남도,남해군,,2010,생산량,70
경상남도,남해군,,2011,생산량,70
경상남도,남해군,,2012,생산량,70
경상남도,남해군,,2013,생산량,40
경상남도,남해군,,2014,생산량,50
경상남도,남해군,,2015,생산량,35
경상남도,남해군,,2016,생산량,26
경상남도,남해군,,2017,생산량,49
경상남도,남해군,,2019,생산량,10.4
경상남도,남해군,,2020,생산량,21.7
경상남도,남해군,,2009,단위생산량,360
경상남도,남해군,,2010,단위생산량,350
경상남도,남해군,,2011,단위생산량,350
경상남도,남해군,,2012,단위생산량,350
경상남도,남해군,,2013,단위생산량,330
경상남도,남해군,,2014,단위생산량,330
경상남도,남해군,,2015,단위생산량,260
경상남도,남해군,,2016,단위생산량,185
경상남도,남해군,,2017,단위생산량,386
경상남도,남해군,,2019,단위생산량,315
경상남도,남해군,,2020,단위생산량,361
