lo1,lo2,lo3,year,item,value
경상남도,산청군,,2009,면적,200.0
경상남도,산청군,,2010,면적,250.0
경상남도,산청군,,2011,면적,240.0
경상남도,산청군,,2012,면적,117.6
경상남도,산청군,,2013,면적,126.0
경상남도,산청군,,2014,면적,128.0
경상남도,산청군,,2015,면적,160.0
경상남도,산청군,,2016,면적,160.0
경상남도,산청군,,2017,면적,150.0
경상남도,산청군,,2018,면적,20.0
경상남도,산청군,,2019,면적,16.0
경상남도,산청군,,2009,생산량,860.0
경상남도,산청군,,2010,생산량,700.0
경상남도,산청군,,2011,생산량,535.0
경상남도,산청군,,2012,생산량,262.2
경상남도,산청군,,2013,생산량,487.6
경상남도,산청군,,2014,생산량,587.5
경상남도,산청군,,2015,생산량,833.0
경상남도,산청군,,2016,생산량,784.0
경상남도,산청군,,2017,생산량,720.0
경상남도,산청군,,2018,생산량,82.0
경상남도,산청군,,2019,생산량,69.5
경상남도,산청군,,2009,단위생산량,430.0
경상남도,산청군,,2010,단위생산량,280.0
경상남도,산청군,,2011,단위생산량,223.0
경상남도,산청군,,2012,단위생산량,223.0
경상남도,산청군,,2013,단위생산량,387.0
경상남도,산청군,,2014,단위생산량,459.0
경상남도,산청군,,2015,단위생산량,521.0
경상남도,산청군,,2016,단위생산량,490.0
경상남도,산청군,,2017,단위생산량,480.0
경상남도,산청군,,2018,단위생산량,410.0
경상남도,산청군,,2019,단위생산량,434.3
