lo1,lo2,lo3,year,item,value
경상북도,상주시,,2011,면적,3.0
경상북도,상주시,,2012,면적,4.4
경상북도,상주시,,2013,면적,11.4
경상북도,상주시,,2014,면적,3.6
경상북도,상주시,,2015,면적,18.0
경상북도,상주시,,2016,면적,23.4
경상북도,상주시,,2017,면적,15.2
경상북도,상주시,,2018,면적,27.07
경상북도,상주시,,2019,면적,28.04
경상북도,상주시,,2011,생산량,12.0
경상북도,상주시,,2012,생산량,15.0
경상북도,상주시,,2013,생산량,35.2
경상북도,상주시,,2014,생산량,14.4
경상북도,상주시,,2015,생산량,63.0
경상북도,상주시,,2016,생산량,73.1
경상북도,상주시,,2017,생산량,61.0
경상북도,상주시,,2018,생산량,86.7
경상북도,상주시,,2019,생산량,88.6
경상북도,상주시,,2011,단위생산량,400.0
경상북도,상주시,,2012,단위생산량,340.9
경상북도,상주시,,2013,단위생산량,308.8
경상북도,상주시,,2014,단위생산량,400.0
경상북도,상주시,,2015,단위생산량,350.0
경상북도,상주시,,2016,단위생산량,312.4
경상북도,상주시,,2017,단위생산량,401.0
경상북도,상주시,,2018,단위생산량,320.0
경상북도,상주시,,2019,단위생산량,316.0
