lo1,lo2,lo3,year,item,value
충청남도,서산시,,2014,면적,17.5
충청남도,서산시,,2015,면적,3.5
충청남도,서산시,,2016,면적,18.1
충청남도,서산시,,2017,면적,8
충청남도,서산시,,2018,면적,3
충청남도,서산시,,2019,면적,2.4
충청남도,서산시,,2020,면적,2.4
충청남도,서산시,,2014,생산량,10.5
충청남도,서산시,,2015,생산량,8.8
충청남도,서산시,,2016,생산량,43.4
충청남도,서산시,,2017,생산량,18.4
충청남도,서산시,,2018,생산량,7
충청남도,서산시,,2019,생산량,5.4
충청남도,서산시,,2020,생산량,5.6
충청남도,서산시,,2014,단위생산량,555
충청남도,서산시,,2015,단위생산량,250
충청남도,서산시,,2016,단위생산량,240
충청남도,서산시,,2017,단위생산량,230
충청남도,서산시,,2018,단위생산량,235
충청남도,서산시,,2019,단위생산량,225
충청남도,서산시,,2020,단위생산량,233
