lo1,lo2,lo3,year,item,value
경상북도,의성군,의성읍,2016,면적,1.6
경상북도,의성군,의성읍,2017,면적,3.8
경상북도,의성군,의성읍,2018,면적,4.6
경상북도,의성군,의성읍,2019,면적,3.7
경상북도,의성군,단촌면,2017,면적,0.7
경상북도,의성군,사곡면,2014,면적,0.1
경상북도,의성군,사곡면,2016,면적,1.3
경상북도,의성군,사곡면,2017,면적,2
경상북도,의성군,사곡면,2018,면적,1.6
경상북도,의성군,사곡면,2019,면적,1.6
경상북도,의성군,춘산면,2013,면적,0.1
경상북도,의성군,가음면,2016,면적,0.3
경상북도,의성군,가음면,2017,면적,1.3
경상북도,의성군,가음면,2018,면적,2.8
경상북도,의성군,가음면,2019,면적,2.8
경상북도,의성군,금성면,2012,면적,0.1
경상북도,의성군,금성면,2014,면적,0.2
경상북도,의성군,금성면,2015,면적,13.2
경상북도,의성군,금성면,2016,면적,17.4
경상북도,의성군,금성면,2017,면적,25
경상북도,의성군,금성면,2018,면적,25.3
경상북도,의성군,금성면,2019,면적,24
경상북도,의성군,봉양면,2013,면적,0.1
경상북도,의성군,봉양면,2017,면적,1
경상북도,의성군,봉양면,2018,면적,2.5
경상북도,의성군,봉양면,2019,면적,2.5
경상북도,의성군,비안면,2016,면적,0.4
경상북도,의성군,비안면,2017,면적,2.1
경상북도,의성군,비안면,2018,면적,3.5
경상북도,의성군,비안면,2019,면적,3.5
경상북도,의성군,단밀면,2018,면적,0.6
경상북도,의성군,단밀면,2019,면적,0.6
경상북도,의성군,안계면,2014,면적,0.2
경상북도,의성군,안계면,2015,면적,0.3
경상북도,의성군,의성읍,2016,생산량,5.1
경상북도,의성군,의성읍,2017,생산량,12.1
경상북도,의성군,의성읍,2018,생산량,13
경상북도,의성군,의성읍,2019,생산량,11.5
경상북도,의성군,단촌면,2017,생산량,1.2
경상북도,의성군,사곡면,2014,생산량,0.2
경상북도,의성군,사곡면,2016,생산량,2.9
경상북도,의성군,사곡면,2017,생산량,3.7
경상북도,의성군,사곡면,2018,생산량,2.3
경상북도,의성군,사곡면,2019,생산량,2.3
경상북도,의성군,춘산면,2013,생산량,0.2
경상북도,의성군,가음면,2016,생산량,0.7
경상북도,의성군,가음면,2017,생산량,2.5
경상북도,의성군,가음면,2018,생산량,18.9
경상북도,의성군,가음면,2019,생산량,18.9
경상북도,의성군,금성면,2012,생산량,0.1
경상북도,의성군,금성면,2014,생산량,0.9
경상북도,의성군,금성면,2015,생산량,2.2
경상북도,의성군,금성면,2016,생산량,43.5
경상북도,의성군,금성면,2017,생산량,48.7
경상북도,의성군,금성면,2018,생산량,57.3
경상북도,의성군,금성면,2019,생산량,53
경상북도,의성군,봉양면,2013,생산량,0.2
경상북도,의성군,봉양면,2017,생산량,2.1
경상북도,의성군,봉양면,2018,생산량,1
경상북도,의성군,봉양면,2019,생산량,1
경상북도,의성군,비안면,2016,생산량,1.5
경상북도,의성군,비안면,2017,생산량,3.9
경상북도,의성군,비안면,2018,생산량,13
경상북도,의성군,비안면,2019,생산량,13
경상북도,의성군,단밀면,2018,생산량,2.4
경상북도,의성군,단밀면,2019,생산량,2.4
경상북도,의성군,안계면,2014,생산량,0.4
경상북도,의성군,안계면,2015,생산량,0.3
경상북도,의성군,의성읍,2016,단위생산량,318.8
경상북도,의성군,의성읍,2017,단위생산량,318.4
경상북도,의성군,의성읍,2018,단위생산량,282.6
경상북도,의성군,의성읍,2019,단위생산량,310.8
경상북도,의성군,단촌면,2017,단위생산량,171.4
경상북도,의성군,사곡면,2014,단위생산량,200
경상북도,의성군,사곡면,2016,단위생산량,226.6
경상북도,의성군,사곡면,2017,단위생산량,185
경상북도,의성군,사곡면,2018,단위생산량,143.8
경상북도,의성군,사곡면,2019,단위생산량,143.8
경상북도,의성군,춘산면,2013,단위생산량,200
경상북도,의성군,가음면,2016,단위생산량,212.1
경상북도,의성군,가음면,2017,단위생산량,192.3
경상북도,의성군,가음면,2018,단위생산량,675
경상북도,의성군,가음면,2019,단위생산량,675
경상북도,의성군,금성면,2012,단위생산량,100
경상북도,의성군,금성면,2014,단위생산량,450
경상북도,의성군,금성면,2015,단위생산량,17
경상북도,의성군,금성면,2016,단위생산량,250
경상북도,의성군,금성면,2017,단위생산량,194.8
경상북도,의성군,금성면,2018,단위생산량,226.9
경상북도,의성군,금성면,2019,단위생산량,220.8
경상북도,의성군,봉양면,2013,단위생산량,202
경상북도,의성군,봉양면,2017,단위생산량,210
경상북도,의성군,봉양면,2018,단위생산량,40
경상북도,의성군,봉양면,2019,단위생산량,40
경상북도,의성군,비안면,2016,단위생산량,348.8
경상북도,의성군,비안면,2017,단위생산량,185.7
경상북도,의성군,비안면,2018,단위생산량,370.4
경상북도,의성군,비안면,2019,단위생산량,371.4
경상북도,의성군,단밀면,2018,단위생산량,428.6
경상북도,의성군,단밀면,2019,단위생산량,400
경상북도,의성군,안계면,2014,단위생산량,200
경상북도,의성군,안계면,2015,단위생산량,100
