lo1,lo2,lo3,year,item,value
경상북도,울진군,,2011,면적,10.9
경상북도,울진군,,2012,면적,13.5
경상북도,울진군,,2013,면적,1.5
경상북도,울진군,,2014,면적,1.3
경상북도,울진군,,2015,면적,0.3
경상북도,울진군,,2016,면적,0.3
경상북도,울진군,,2017,면적,0.8
경상북도,울진군,,2018,면적,0.9
경상북도,울진군,,2019,면적,0.8
경상북도,울진군,,2011,생산량,26.7
경상북도,울진군,,2012,생산량,33.0
경상북도,울진군,,2013,생산량,3.5
경상북도,울진군,,2014,생산량,2.9
경상북도,울진군,,2015,생산량,0.8
경상북도,울진군,,2016,생산량,0.8
경상북도,울진군,,2017,생산량,2.0
경상북도,울진군,,2018,생산량,1.9
경상북도,울진군,,2019,생산량,1.8
경상북도,울진군,,2011,단위생산량,245.0
경상북도,울진군,,2012,단위생산량,244.4
경상북도,울진군,,2013,단위생산량,230.0
경상북도,울진군,,2014,단위생산량,223.0
경상북도,울진군,,2015,단위생산량,267.0
경상북도,울진군,,2016,단위생산량,267.0
경상북도,울진군,,2017,단위생산량,250.0
경상북도,울진군,,2018,단위생산량,211.1
경상북도,울진군,,2019,단위생산량,225.0
