lo1,lo2,lo3,year,item,value
강원도,원주시,,2013,면적,57.7
강원도,원주시,,2014,면적,7.0
강원도,원주시,,2015,면적,1.5
강원도,원주시,,2016,면적,23.0
강원도,원주시,,2017,면적,5.0
강원도,원주시,,2018,면적,10.3
강원도,원주시,,2019,면적,1.8
강원도,원주시,,2020,면적,3.2
강원도,원주시,,2013,생산량,115.8
강원도,원주시,,2014,생산량,14.0
강원도,원주시,,2015,생산량,3.3
강원도,원주시,,2016,생산량,50.0
강원도,원주시,,2017,생산량,9.0
강원도,원주시,,2018,생산량,21.1
강원도,원주시,,2019,생산량,3.6
강원도,원주시,,2020,생산량,3.9
강원도,원주시,,2013,단위생산량,196.1
강원도,원주시,,2014,단위생산량,200.0
강원도,원주시,,2015,단위생산량,220.0
강원도,원주시,,2016,단위생산량,217.4
강원도,원주시,,2017,단위생산량,180.0
강원도,원주시,,2018,단위생산량,204.9
강원도,원주시,,2019,단위생산량,200.0
강원도,원주시,,2020,단위생산량,121.9
