lo1,lo2,lo3,year,item,value
경상북도,영천시,,2011,면적,1.7
경상북도,영천시,,2012,면적,1.2
경상북도,영천시,,2013,면적,1.7
경상북도,영천시,,2014,면적,2.2
경상북도,영천시,,2015,면적,6.4
경상북도,영천시,,2016,면적,9.3
경상북도,영천시,,2017,면적,8.5
경상북도,영천시,,2018,면적,3.3
경상북도,영천시,,2019,면적,3.7
경상북도,영천시,,2011,생산량,3.0
경상북도,영천시,,2012,생산량,2.0
경상북도,영천시,,2013,생산량,6.0
경상북도,영천시,,2014,생산량,5.0
경상북도,영천시,,2015,생산량,29.0
경상북도,영천시,,2016,생산량,30.0
경상북도,영천시,,2017,생산량,28.3
경상북도,영천시,,2018,생산량,10.9
경상북도,영천시,,2019,생산량,16.7
경상북도,영천시,,2011,단위생산량,181.0
경상북도,영천시,,2012,단위생산량,167.0
경상북도,영천시,,2013,단위생산량,353.0
경상북도,영천시,,2014,단위생산량,227.2
경상북도,영천시,,2015,단위생산량,453.1
경상북도,영천시,,2016,단위생산량,322.6
경상북도,영천시,,2017,단위생산량,333.0
경상북도,영천시,,2018,단위생산량,333.0
경상북도,영천시,,2019,단위생산량,451.3
