lo1,lo2,lo3,year,item,value
전라남도,여수시,돌산읍,2017,면적,0.7
전라남도,여수시,소라면,2012,면적,0.8
전라남도,여수시,소라면,2013,면적,0.8
전라남도,여수시,소라면,2016,면적,0.2
전라남도,여수시,소라면,2017,면적,0.2
전라남도,여수시,소라면,2018,면적,0.2
전라남도,여수시,소라면,2019,면적,0.2
전라남도,여수시,소라면,2020,면적,0.2
전라남도,여수시,율촌면,2015,면적,0.5
전라남도,여수시,주삼동,2012,면적,0.1
전라남도,여수시,돌산읍,2017,생산량,2.8
전라남도,여수시,소라면,2012,생산량,2.6
전라남도,여수시,소라면,2013,생산량,2.6
전라남도,여수시,소라면,2016,생산량,0.7
전라남도,여수시,소라면,2017,생산량,0.7
전라남도,여수시,소라면,2018,생산량,0.8
전라남도,여수시,소라면,2019,생산량,0.7
전라남도,여수시,소라면,2020,생산량,0.6
전라남도,여수시,율촌면,2015,생산량,1.6
전라남도,여수시,주삼동,2012,생산량,0.3
전라남도,여수시,소라면,2018,단위생산량,400
전라남도,여수시,소라면,2019,단위생산량,350
전라남도,여수시,소라면,2020,단위생산량,300
