[weather.met.weather]
!Title  =  Namwon  2007-2020
latitude  =36.2694
Longitude  =126.9229
!  TAV  and  AMP  inserted  by  'tav_amp'  on  31/12/2020  at  10:00  for  period  from      1/2007  to  366/2020  (ddd/yyyy)
tav  =    12.69  (oC)          !  annual  average  ambient  temperature
amp  =    17.22  (oC)          !  annual  amplitude  in  mean  monthly  temperature
  
  
site  year  day  radn  maxt  mint  rain  evap
()  ()  ()  (MJ/m2)  (oC)  (oC)  (mm)  (mm)
Buyeo  2007  1  3.626  5.9  -5.0  0.0  0.513
Buyeo  2007  2  3.118  7.8  -0.8  0.0  0.588
Buyeo  2007  3  6.258  11.6  -3.0  0.0  0.803
Buyeo  2007  4  8.761  12.3  -2.5  0.0  0.829
Buyeo  2007  5  5.645  10.6  -4.4  0.0  0.536
Buyeo  2007  6  3.497  4.4  -1.7  7.0  0.815
Buyeo  2007  7  3.315  1.8  -2.2  0.0  0.807
Buyeo  2007  8  8.955  3.7  -5.4  0.0  0.702
Buyeo  2007  9  7.465  5.0  -6.9  0.0  0.51
Buyeo  2007  10  7.098  6.4  -5.0  0.0  0.517
Buyeo  2007  11  5.859  4.3  -6.8  0.0  0.435
Buyeo  2007  12  6.157  3.5  -5.9  0.0  0.594
Buyeo  2007  13  8.144  2.7  -8.1  0.0  0.651
Buyeo  2007  14  9.336  5.4  -10.5  0.0  0.582
Buyeo  2007  15  7.683  6.5  -7.1  0.0  0.714
Buyeo  2007  16  3.557  7.0  -1.5  0.0  0.686
Buyeo  2007  17  6.052  8.3  -4.8  0.0  0.554
Buyeo  2007  18  9.329  7.3  -5.8  0.0  0.784
Buyeo  2007  19  8.482  7.0  -8.6  0.0  0.651
Buyeo  2007  20  9.715  8.3  -7.0  0.0  0.737
Buyeo  2007  21  8.793  10.5  -7.9  0.0  0.698
Buyeo  2007  22  9.128  8.0  -4.1  0.0  0.832
Buyeo  2007  23  3.952  7.5  -5.9  0.0  0.576
Buyeo  2007  24  9.528  9.1  -5.6  0.0  0.727
Buyeo  2007  25  8.588  8.1  -7.5  0.0  0.646
Buyeo  2007  26  3.613  2.0  -4.6  9.5  0.453
Buyeo  2007  27  5.956  4.0  -2.0  2.0  0.578
Buyeo  2007  28  4.183  3.0  -5.0  2.0  0.485
Buyeo  2007  29  6.557  4.6  -5.5  0.0  0.552
Buyeo  2007  30  6.752  6.0  -4.8  0.0  0.765
Buyeo  2007  31  7.246  3.9  -8.1  1.3  0.683
Buyeo  2007  32  9.234  1.7  -5.3  0.3  0.977
Buyeo  2007  33  10.573  1.8  -8.1  0.0  0.774
Buyeo  2007  34  7.787  8.3  -7.1  0.0  0.811
Buyeo  2007  35  10.724  11.5  -6.0  0.0  0.922
Buyeo  2007  36  8.438  11.1  -6.0  0.0  0.808
Buyeo  2007  37  9.345  15.3  -2.2  0.0  0.942
Buyeo  2007  38  8.181  15.5  -0.6  0.0  0.942
Buyeo  2007  39  4.052  10.6  4.1  15.0  0.76
Buyeo  2007  40  5.027  8.6  3.2  0.0  0.964
Buyeo  2007  41  8.136  10.5  -2.5  0.0  1.102
Buyeo  2007  42  11.678  8.8  -5.3  0.0  1.065
Buyeo  2007  43  11.684  9.6  -6.3  0.0  0.998
Buyeo  2007  44  4.566  9.1  -3.7  32.5  0.849
Buyeo  2007  45  9.118  6.1  -0.8  0.0  1.451
Buyeo  2007  46  12.025  7.5  -5.9  0.0  1.219
Buyeo  2007  47  11.95  12.1  -5.0  0.0  1.2
Buyeo  2007  48  4.409  10.6  -0.8  0.0  1.106
Buyeo  2007  49  12.21  14.3  -2.2  0.0  1.283
Buyeo  2007  50  12.133  11.8  -4.8  0.0  1.167
Buyeo  2007  51  12.64  15.1  -5.4  0.0  1.272
Buyeo  2007  52  11.555  15.0  -4.4  0.0  1.233
Buyeo  2007  53  6.651  15.3  -3.2  0.0  1.02
Buyeo  2007  54  13.257  10.8  -2.7  0.0  1.936
Buyeo  2007  55  11.127  11.1  -5.1  0.0  1.423
Buyeo  2007  56  6.044  13.8  2.5  0.0  1.359
Buyeo  2007  57  13.369  16.2  -1.8  0.0  1.639
Buyeo  2007  58  13.115  16.6  -2.5  0.0  1.6
Buyeo  2007  59  13.207  16.7  1.5  0.0  2.257
Buyeo  2007  60  7.837  17.0  -2.7  0.0  1.407
Buyeo  2007  61  4.975  10.3  6.0  37.0  0.942
Buyeo  2007  62  10.01  18.7  7.5  0.0  1.645
Buyeo  2007  63  5.065  17.2  6.5  48.0  1.258
Buyeo  2007  64  5.2  6.6  -3.5  3.5  1.153
Buyeo  2007  65  12.584  1.2  -5.3  0.0  1.507
Buyeo  2007  66  12.032  4.1  -5.1  3.0  1.306
Buyeo  2007  67  12.297  7.5  -6.4  0.0  1.29
Buyeo  2007  68  12.84  11.5  -3.2  0.0  1.501
Buyeo  2007  69  7.466  10.3  -1.2  0.5  1.359
Buyeo  2007  70  11.149  6.3  -6.3  0.0  1.571
Buyeo  2007  71  13.467  10.5  -4.9  0.0  1.72
Buyeo  2007  72  14.68  12.6  -4.0  0.0  1.813
Buyeo  2007  73  10.995  14.8  -2.4  0.0  1.559
Buyeo  2007  74  13.343  17.0  3.2  0.0  2.499
Buyeo  2007  75  9.137  15.3  3.9  0.0  2.072
Buyeo  2007  76  10.826  13.3  -0.8  0.0  1.707
Buyeo  2007  77  13.589  13.3  -1.2  0.0  1.799
Buyeo  2007  78  12.606  14.3  -3.9  0.0  1.778
Buyeo  2007  79  10.158  12.6  -2.5  0.0  1.566
Buyeo  2007  80  7.59  13.8  1.6  0.0  1.546
Buyeo  2007  81  14.299  16.7  2.7  0.0  2.311
Buyeo  2007  82  11.233  20.7  1.6  6.0  1.98
Buyeo  2007  83  5.967  11.3  8.0  20.5  1.156
Buyeo  2007  84  13.049  16.3  3.0  0.0  1.987
Buyeo  2007  85  9.14  16.2  1.7  4.5  1.565
Buyeo  2007  86  9.695  14.8  5.8  0.0  1.85
Buyeo  2007  87  6.743  19.0  4.9  15.5  1.543
Buyeo  2007  88  6.989  14.0  2.0  11.5  1.348
Buyeo  2007  89  12.389  17.3  4.5  0.0  2.177
Buyeo  2007  90  6.775  15.5  6.3  9.0  1.452
Buyeo  2007  91  6.31  13.1  5.5  0.0  1.393
Buyeo  2007  92  17.581  11.6  -0.1  0.0  2.563
Buyeo  2007  93  17.045  11.3  -2.4  0.0  2.609
Buyeo  2007  94  17.942  12.3  0.4  0.0  2.85
Buyeo  2007  95  15.751  16.2  -2.2  0.0  2.477
Buyeo  2007  96  16.233  17.6  1.1  0.0  2.586
Buyeo  2007  97  13.398  17.3  0.6  0.0  2.232
Buyeo  2007  98  13.249  17.2  4.1  0.0  2.3
Buyeo  2007  99  15.601  18.3  2.5  0.0  2.579
Buyeo  2007  100  17.546  18.6  0.8  0.0  3.03
Buyeo  2007  101  17.299  20.3  1.7  0.0  3.16
Buyeo  2007  102  11.581  22.6  6.0  0.0  3.164
Buyeo  2007  103  6.781  15.3  3.9  4.0  1.573
Buyeo  2007  104  16.222  19.0  2.0  0.0  2.72
Buyeo  2007  105  7.489  17.7  5.4  0.0  1.838
Buyeo  2007  106  8.269  11.1  5.0  13.5  1.5
Buyeo  2007  107  11.925  15.6  1.5  0.0  2.1
Buyeo  2007  108  18.367  18.7  4.0  0.0  3.072
Buyeo  2007  109  19.387  19.7  1.5  0.0  3.574
Buyeo  2007  110  11.63  20.2  5.9  0.0  3.124
Buyeo  2007  111  13.281  25.5  13.8  0.0  3.213
Buyeo  2007  112  7.091  18.5  9.8  2.0  2.325
Buyeo  2007  113  18.859  22.6  7.0  0.0  4.114
Buyeo  2007  114  9.312  19.0  6.8  0.0  2.119
Buyeo  2007  115  19.609  19.8  7.6  0.0  3.621
Buyeo  2007  116  17.603  24.7  8.3  0.0  3.486
Buyeo  2007  117  15.807  23.2  6.5  0.0  3.334
Buyeo  2007  118  20.733  24.0  2.5  0.0  3.752
Buyeo  2007  119  20.346  24.7  3.5  0.0  3.942
Buyeo  2007  120  7.332  19.3  6.0  8.5  1.967
Buyeo  2007  121  7.36  14.1  10.5  15.0  1.561
Buyeo  2007  122  18.843  22.2  9.6  0.0  3.707
Buyeo  2007  123  11.237  21.5  11.8  0.0  2.683
Buyeo  2007  124  16.407  23.7  12.6  0.0  3.579
Buyeo  2007  125  16.551  29.2  10.0  0.0  3.688
Buyeo  2007  126  7.928  23.3  13.3  0.0  2.207
Buyeo  2007  127  18.483  27.7  9.6  0.0  3.975
Buyeo  2007  128  19.066  25.3  11.6  0.0  4.42
