[weather.met.weather]
!Title  =  Namwon  2007-2020
latitude  =34.6151
Longitude  =127.2778
!  TAV  and  AMP  inserted  by  'tav_amp'  on  31/12/2020  at  10:00  for  period  from      1/2007  to  366/2020  (ddd/yyyy)
tav  =    13.92  (oC)          !  annual  average  ambient  temperature
amp  =    15.59  (oC)          !  annual  amplitude  in  mean  monthly  temperature
  
  
site  year  day  radn  maxt  mint  rain  evap
()  ()  ()  (MJ/m2)  (oC)  (oC)  (mm)  (mm)
Goheung  2007  1  3.304  7.3  -1.3  0.5  0.538
Goheung  2007  2  6.513  12.5  0.0  0.0  0.66
Goheung  2007  3  4.417  11.6  -1.0  0.0  0.878
Goheung  2007  4  8.125  12.6  1.5  0.0  1.191
Goheung  2007  5  5.82  12.6  1.0  0.0  0.95
Goheung  2007  6  5.084  7.0  -1.5  1.9  1.131
Goheung  2007  7  5.173  5.5  -1.1  0.0  1.401
Goheung  2007  8  7.546  5.9  -3.7  0.0  1.243
Goheung  2007  9  9.103  7.1  -4.6  0.0  0.912
Goheung  2007  10  9.0  8.1  -5.3  0.0  0.803
Goheung  2007  11  9.178  9.1  -5.4  0.0  0.846
Goheung  2007  12  5.148  5.6  -3.2  0.0  1.015
Goheung  2007  13  8.484  5.5  -2.5  0.0  1.287
Goheung  2007  14  9.373  9.0  -6.1  0.0  1.034
Goheung  2007  15  4.874  9.8  -3.5  0.0  0.724
Goheung  2007  16  3.546  5.9  2.2  4.5  0.545
Goheung  2007  17  6.72  9.1  0.0  0.0  1.157
Goheung  2007  18  9.058  9.8  -2.2  0.0  1.413
Goheung  2007  19  9.107  10.3  -6.5  0.0  0.823
Goheung  2007  20  7.923  9.3  -2.7  0.0  0.943
Goheung  2007  21  7.094  13.1  -3.0  0.0  0.836
Goheung  2007  22  9.042  10.8  -1.8  0.0  1.205
Goheung  2007  23  4.529  11.0  -2.7  0.0  0.83
Goheung  2007  24  9.964  10.3  -0.1  0.0  1.62
Goheung  2007  25  9.726  10.0  -5.0  0.0  1.074
Goheung  2007  26  5.972  8.6  -2.0  3.5  0.879
Goheung  2007  27  8.117  6.8  -1.0  0.0  1.331
Goheung  2007  28  7.566  6.4  -3.7  0.0  0.923
Goheung  2007  29  10.428  9.0  -5.1  0.0  0.923
Goheung  2007  30  8.279  8.8  -4.9  0.0  0.927
Goheung  2007  31  8.258  5.8  -2.7  0.0  1.288
Goheung  2007  32  10.014  4.1  -3.4  0.0  1.346
Goheung  2007  33  10.469  3.5  -3.7  0.0  1.265
Goheung  2007  34  10.774  9.6  -6.4  0.0  1.31
Goheung  2007  35  11.003  12.3  -3.4  0.0  1.216
Goheung  2007  36  9.892  14.8  -3.4  0.0  1.113
Goheung  2007  37  10.358  17.7  0.8  0.0  1.25
Goheung  2007  38  9.551  16.7  1.2  0.0  1.24
Goheung  2007  39  4.234  12.1  8.8  20.0  0.819
Goheung  2007  40  7.423  11.1  4.0  0.0  1.438
Goheung  2007  41  9.592  11.0  1.5  0.0  1.577
Goheung  2007  42  11.787  10.0  -0.5  0.0  1.848
Goheung  2007  43  11.951  11.5  -3.0  0.0  1.306
Goheung  2007  44  6.987  15.6  -2.5  31.5  1.127
Goheung  2007  45  10.453  14.3  0.5  8.5  1.962
Goheung  2007  46  12.368  8.5  -0.4  0.0  1.861
Goheung  2007  47  4.878  9.3  -1.2  0.0  1.062
Goheung  2007  48  4.582  8.1  3.9  6.5  0.846
Goheung  2007  49  11.945  14.8  3.2  0.0  1.567
Goheung  2007  50  12.885  13.6  -1.6  0.0  1.503
Goheung  2007  51  12.887  16.0  -2.2  0.0  1.454
Goheung  2007  52  13.148  16.5  -1.8  0.0  1.536
Goheung  2007  53  6.879  15.3  -0.4  0.0  1.074
Goheung  2007  54  13.327  12.1  -0.1  0.0  2.371
Goheung  2007  55  11.92  12.8  -3.7  0.0  1.628
Goheung  2007  56  9.078  12.8  3.0  0.0  1.784
Goheung  2007  57  13.776  14.8  1.8  0.0  1.977
Goheung  2007  58  13.867  17.3  -0.5  0.0  1.83
Goheung  2007  59  14.049  12.6  2.2  0.0  2.191
Goheung  2007  60  9.704  13.0  2.4  0.0  1.887
Goheung  2007  61  5.131  12.8  8.5  13.5  1.06
Goheung  2007  62  5.174  18.6  10.1  3.0  1.154
Goheung  2007  63  5.218  17.3  8.6  70.0  1.241
Goheung  2007  64  5.539  8.6  -1.1  0.0  1.504
Goheung  2007  65  14.598  3.4  -2.7  0.0  1.927
Goheung  2007  66  11.42  5.4  -1.7  0.0  1.598
Goheung  2007  67  12.808  9.1  -0.8  0.0  2.122
Goheung  2007  68  14.87  12.5  -2.0  0.0  1.983
Goheung  2007  69  7.661  12.6  -1.1  0.0  1.461
Goheung  2007  70  14.382  7.8  -2.4  0.0  2.327
Goheung  2007  71  15.425  11.5  0.4  0.0  2.638
Goheung  2007  72  13.111  13.3  2.0  0.0  2.574
Goheung  2007  73  5.849  12.8  1.5  0.0  1.481
Goheung  2007  74  9.386  10.6  4.0  5.5  1.547
Goheung  2007  75  8.667  12.8  3.7  0.0  1.636
Goheung  2007  76  10.289  13.3  0.2  0.5  1.604
Goheung  2007  77  13.792  12.8  2.2  0.0  2.061
Goheung  2007  78  5.873  11.6  1.6  0.0  1.144
Goheung  2007  79  15.432  13.6  -0.6  0.0  2.082
Goheung  2007  80  13.324  15.8  -0.8  0.0  2.097
Goheung  2007  81  16.493  17.5  0.4  0.0  2.488
Goheung  2007  82  13.266  19.5  0.6  0.5  2.197
Goheung  2007  83  6.186  15.3  9.1  46.0  1.293
Goheung  2007  84  16.943  18.5  7.1  0.0  3.355
Goheung  2007  85  14.488  19.2  2.5  0.0  2.554
Goheung  2007  86  11.097  18.3  8.6  0.0  2.252
Goheung  2007  87  14.221  17.8  2.4  0.0  2.65
Goheung  2007  88  12.751  16.3  7.0  0.0  2.267
Goheung  2007  89  15.18  17.8  8.1  0.0  2.699
Goheung  2007  90  6.578  15.5  9.6  0.5  1.617
Goheung  2007  91  6.618  12.8  6.5  2.5  1.725
Goheung  2007  92  14.45  13.8  4.0  0.0  2.989
Goheung  2007  93  17.431  11.6  3.0  0.0  3.417
Goheung  2007  94  17.712  13.5  1.2  0.0  3.213
Goheung  2007  95  13.694  15.3  -0.4  0.0  2.275
Goheung  2007  96  16.485  17.1  5.0  0.0  2.878
Goheung  2007  97  18.026  18.6  3.7  0.0  3.141
Goheung  2007  98  16.296  17.8  4.3  0.0  3.047
Goheung  2007  99  18.372  18.6  1.3  0.0  3.079
Goheung  2007  100  17.056  19.7  2.5  0.0  3.001
Goheung  2007  101  18.182  17.6  2.7  0.0  3.028
Goheung  2007  102  15.468  19.1  5.5  0.0  2.687
Goheung  2007  103  11.243  17.5  8.3  20.5  2.595
Goheung  2007  104  18.151  19.7  3.2  0.0  3.239
Goheung  2007  105  16.059  19.1  4.3  1.0  3.19
Goheung  2007  106  6.957  11.3  6.9  16.0  1.33
Goheung  2007  107  8.609  13.5  3.7  0.0  1.893
Goheung  2007  108  9.509  16.0  6.5  0.0  1.904
Goheung  2007  109  18.321  17.5  2.9  0.0  3.132
Goheung  2007  110  10.016  19.7  6.0  0.0  2.409
Goheung  2007  111  7.117  19.7  15.1  0.0  1.854
Goheung  2007  112  7.147  20.0  12.1  12.0  1.946
Goheung  2007  113  18.412  18.5  8.5  0.0  3.562
Goheung  2007  114  7.862  17.2  7.1  0.0  2.166
Goheung  2007  115  19.598  20.2  5.9  0.0  3.988
Goheung  2007  116  17.891  21.8  6.4  0.0  3.458
Goheung  2007  117  16.068  22.8  9.1  0.0  3.528
Goheung  2007  118  20.172  22.7  5.9  0.0  4.339
Goheung  2007  119  19.444  24.5  4.0  0.0  4.079
Goheung  2007  120  8.583  21.0  9.0  11.0  2.309
Goheung  2007  121  7.397  14.1  12.3  2.0  1.67
Goheung  2007  122  20.004  22.3  8.8  0.0  4.177
Goheung  2007  123  14.297  22.0  7.9  0.0  3.089
Goheung  2007  124  14.88  22.8  11.8  0.0  3.16
Goheung  2007  125  12.918  22.1  10.1  0.0  2.666
Goheung  2007  126  7.517  18.7  12.8  17.0  1.75
Goheung  2007  127  20.513  26.3  11.1  0.0  4.796
Goheung  2007  128  20.212  26.3  10.5  0.0  4.499
Goheung  2007  129  14.246  22.8  5.5  13.5  3.124
Goheung  2007  130  18.828  23.2  10.6  0.0  4.377
Goheung  2007  131  20.635  22.7  8.0  0.0  3.986
Goheung  2007  132  7.644  16.2  12.1  12.5  1.837
Goheung  2007  133  21.246  22.8  10.6  0.0  4.738
Goheung  2007  134  19.824  23.0  8.3  0.0  4.181
Goheung  2007  135  18.734  24.2  11.6  0.0  3.866
Goheung  2007  136  7.717  19.7  13.6  23.0  1.841
Goheung  2007  137  19.559  22.8  13.3  0.0  4.744
Goheung  2007  138  15.898  20.7  11.6  1.0  3.745
Goheung  2007  139  21.164  23.8  10.8  0.0  4.664
Goheung  2007  140  17.499  22.0  8.1  0.0  3.401
Goheung  2007  141  12.601  22.8  9.8  0.0  2.757
Goheung  2007  142  21.557  24.3  9.1  0.0  4.335
Goheung  2007  143  10.173  22.5  11.8  0.0  2.418
