[weather.met.weather]
!Title  =  Namwon  2007-2020
latitude  =34.6856
Longitude  =126.9216
!  TAV  and  AMP  inserted  by  'tav_amp'  on  31/12/2020  at  10:00  for  period  from      1/2007  to  366/2020  (ddd/yyyy)
tav  =    13.78  (oC)          !  annual  average  ambient  temperature
amp  =    16.15  (oC)          !  annual  amplitude  in  mean  monthly  temperature
  
  
site  year  day  radn  maxt  mint  rain  evap
()  ()  ()  (MJ/m2)  (oC)  (oC)  (mm)  (mm)
Jangheung  2007  1  3.296  5.3  -3.4  1.5  0.536
Jangheung  2007  2  6.363  12.1  0.6  0.0  0.737
Jangheung  2007  3  3.862  11.6  -2.2  0.0  0.909
Jangheung  2007  4  8.449  12.3  -1.8  0.0  0.992
Jangheung  2007  5  5.533  11.5  -2.7  0.0  0.741
Jangheung  2007  6  4.66  4.8  -1.7  5.8  0.984
Jangheung  2007  7  4.266  3.2  -1.7  0.1  1.323
Jangheung  2007  8  6.149  4.5  -4.9  0.0  1.163
Jangheung  2007  9  9.292  6.5  -6.1  0.0  0.789
Jangheung  2007  10  9.538  8.0  -7.0  0.0  0.732
Jangheung  2007  11  9.229  8.3  -6.9  0.0  0.872
Jangheung  2007  12  3.666  4.9  -5.0  0.0  0.965
Jangheung  2007  13  7.342  3.4  -2.5  0.0  1.223
Jangheung  2007  14  9.989  7.0  -5.4  0.0  1.154
Jangheung  2007  15  5.005  9.8  -4.5  0.0  0.823
Jangheung  2007  16  3.538  6.5  1.7  1.5  0.648
Jangheung  2007  17  6.634  8.3  0.5  0.0  1.17
Jangheung  2007  18  8.323  8.6  -4.4  0.0  1.119
Jangheung  2007  19  8.224  9.6  -6.9  0.0  1.011
Jangheung  2007  20  7.763  8.6  -4.3  0.0  1.042
Jangheung  2007  21  8.245  13.1  -5.0  0.0  0.822
Jangheung  2007  22  8.952  8.1  -5.0  0.0  1.225
Jangheung  2007  23  4.446  10.6  -4.1  0.0  0.778
Jangheung  2007  24  10.536  9.6  -1.7  0.0  1.435
Jangheung  2007  25  9.485  9.3  -5.8  0.0  0.922
Jangheung  2007  26  4.616  4.9  -6.0  5.0  0.658
Jangheung  2007  27  7.352  6.0  -2.0  0.0  1.205
Jangheung  2007  28  7.024  5.5  -5.1  0.0  0.798
Jangheung  2007  29  11.016  8.0  -5.6  0.0  0.914
Jangheung  2007  30  7.12  6.3  -6.4  1.0  0.861
Jangheung  2007  31  6.25  5.3  -3.2  0.0  1.13
Jangheung  2007  32  7.837  3.0  -5.5  0.2  1.032
Jangheung  2007  33  10.451  1.7  -6.4  0.7  1.072
Jangheung  2007  34  10.444  9.8  -9.3  0.0  1.126
Jangheung  2007  35  11.691  11.6  -4.0  0.0  1.352
Jangheung  2007  36  9.324  14.8  -5.3  0.0  1.087
Jangheung  2007  37  10.579  17.7  -0.6  0.0  1.222
Jangheung  2007  38  9.056  16.7  -1.2  0.0  1.218
Jangheung  2007  39  4.226  12.6  6.3  15.5  0.853
Jangheung  2007  40  6.846  10.5  3.0  0.0  1.432
Jangheung  2007  41  8.197  10.6  -1.7  0.0  1.42
Jangheung  2007  42  12.177  9.0  -2.7  0.0  1.811
Jangheung  2007  43  12.426  11.1  -6.3  0.0  1.278
Jangheung  2007  44  6.894  15.1  -4.5  18.5  1.187
Jangheung  2007  45  8.692  13.8  0.3  9.5  1.924
Jangheung  2007  46  12.852  7.8  -2.0  0.0  1.881
Jangheung  2007  47  5.627  10.0  -1.5  0.0  1.46
Jangheung  2007  48  4.575  7.6  3.7  5.0  0.953
Jangheung  2007  49  12.439  14.8  0.2  0.0  1.601
Jangheung  2007  50  13.551  12.8  -1.3  0.0  1.664
Jangheung  2007  51  13.299  15.8  -4.5  0.0  1.552
Jangheung  2007  52  13.131  16.7  -3.7  0.0  1.602
Jangheung  2007  53  8.609  15.3  -1.7  0.0  1.244
Jangheung  2007  54  13.835  11.5  0.8  0.0  2.682
Jangheung  2007  55  11.904  12.3  -2.7  0.0  2.006
Jangheung  2007  56  6.766  13.6  2.7  0.0  1.757
Jangheung  2007  57  14.204  14.6  -2.5  0.0  1.815
Jangheung  2007  58  13.94  17.5  -2.5  0.0  1.942
Jangheung  2007  59  14.122  13.5  -0.1  0.0  2.096
Jangheung  2007  60  8.698  14.5  3.2  0.0  2.123
Jangheung  2007  61  5.397  13.8  8.1  10.0  1.218
Jangheung  2007  62  5.259  18.0  9.3  4.5  1.208
Jangheung  2007  63  5.212  16.6  7.5  96.0  1.513
Jangheung  2007  64  5.256  7.5  -1.6  0.5  1.434
Jangheung  2007  65  9.941  2.0  -3.0  0.0  1.597
Jangheung  2007  66  9.168  4.9  -3.0  0.0  1.295
Jangheung  2007  67  12.982  8.6  -3.7  0.0  1.819
Jangheung  2007  68  14.948  12.1  -4.5  0.0  1.826
Jangheung  2007  69  8.032  12.5  -2.7  0.0  1.573
Jangheung  2007  70  13.511  6.6  -2.7  0.0  2.298
Jangheung  2007  71  15.505  11.8  -3.2  0.0  2.498
Jangheung  2007  72  13.29  13.0  -0.1  0.0  2.113
Jangheung  2007  73  5.94  11.6  0.2  0.0  1.56
Jangheung  2007  74  9.571  11.5  2.5  2.5  1.546
Jangheung  2007  75  7.198  14.1  2.5  0.0  1.462
Jangheung  2007  76  10.67  14.5  -1.2  1.5  1.692
Jangheung  2007  77  11.422  13.8  0.3  0.0  1.762
Jangheung  2007  78  7.643  12.3  -1.2  0.0  1.376
Jangheung  2007  79  13.536  13.3  -2.7  0.0  1.852
Jangheung  2007  80  13.511  16.2  -3.0  0.0  1.951
Jangheung  2007  81  15.88  17.8  -2.0  0.0  2.286
Jangheung  2007  82  12.955  17.2  -1.3  0.5  2.381
Jangheung  2007  83  6.08  14.5  8.1  43.5  1.319
Jangheung  2007  84  16.728  17.5  2.7  0.0  2.952
Jangheung  2007  85  14.071  18.2  -0.1  0.0  2.372
Jangheung  2007  86  10.784  19.2  6.5  0.0  2.183
Jangheung  2007  87  15.538  19.6  0.4  0.0  2.703
Jangheung  2007  88  13.254  17.3  8.6  0.0  2.479
Jangheung  2007  89  15.786  17.7  8.3  0.0  3.017
Jangheung  2007  90  6.367  15.5  7.8  0.5  1.676
Jangheung  2007  91  6.406  12.6  6.8  1.5  2.025
Jangheung  2007  92  14.232  12.6  3.5  0.0  3.075
Jangheung  2007  93  16.378  10.8  2.4  0.0  3.377
Jangheung  2007  94  17.387  12.1  -1.1  0.0  2.944
Jangheung  2007  95  15.257  15.3  -3.0  0.0  2.467
Jangheung  2007  96  12.798  18.2  3.7  0.0  2.356
Jangheung  2007  97  17.172  18.6  0.3  0.0  2.691
Jangheung  2007  98  17.66  18.3  2.2  0.0  3.056
Jangheung  2007  99  18.89  19.0  -0.8  0.0  3.166
Jangheung  2007  100  16.94  20.0  0.5  0.0  3.098
Jangheung  2007  101  17.746  19.2  0.8  0.0  3.014
Jangheung  2007  102  15.247  19.5  2.7  0.0  2.851
Jangheung  2007  103  9.098  16.8  5.9  4.5  2.206
Jangheung  2007  104  18.034  20.8  1.1  0.0  3.284
Jangheung  2007  105  14.869  19.7  1.6  0.0  2.943
Jangheung  2007  106  6.954  11.8  6.4  19.5  1.545
