[weather.met.weather]
!Title  =  Namwon  2007-2020
latitude  =35.5601
Longitude  =126.8682
!  TAV  and  AMP  inserted  by  'tav_amp'  on  31/12/2020  at  10:00  for  period  from      1/2007  to  366/2020  (ddd/yyyy)
tav  =    13.58  (oC)          !  annual  average  ambient  temperature
amp  =    18.14  (oC)          !  annual  amplitude  in  mean  monthly  temperature
  
  
site  year  day  radn  maxt  mint  rain  evap
()  ()  ()  (MJ/m2)  (oC)  (oC)  (mm)  (mm)
Jeongeup  2007  1  3.324  2.9  -3.4  2.0  0.471
Jeongeup  2007  2  3.202  5.5  0.0  0.0  0.477
Jeongeup  2007  3  3.546  7.9  -2.0  0.0  0.479
Jeongeup  2007  4  8.225  10.8  -0.8  0.0  0.634
Jeongeup  2007  5  5.913  10.6  -0.6  0.0  0.692
Jeongeup  2007  6  3.923  5.5  -2.0  4.0  0.905
Jeongeup  2007  7  3.335  2.2  -1.2  0.0  0.734
Jeongeup  2007  8  6.791  3.5  -2.5  1.0  0.7
Jeongeup  2007  9  7.023  4.9  -3.0  0.0  0.645
Jeongeup  2007  10  8.208  6.5  -1.7  0.0  0.684
Jeongeup  2007  11  6.948  4.5  -3.5  0.0  0.612
Jeongeup  2007  12  5.544  4.5  -1.3  0.0  0.772
Jeongeup  2007  13  6.603  2.4  -5.1  0.0  0.784
Jeongeup  2007  14  9.328  4.1  -6.5  0.0  0.714
Jeongeup  2007  15  7.849  6.3  -4.9  0.0  0.682
Jeongeup  2007  16  3.436  4.9  -0.1  0.0  0.629
Jeongeup  2007  17  5.206  7.5  -1.5  0.0  0.682
Jeongeup  2007  18  8.679  7.0  -2.4  0.0  0.897
Jeongeup  2007  19  8.093  5.8  -5.1  0.0  0.778
Jeongeup  2007  20  9.487  6.0  -3.7  0.0  0.752
Jeongeup  2007  21  9.471  8.3  -5.1  0.0  0.751
Jeongeup  2007  22  8.882  6.4  -1.5  0.0  0.953
Jeongeup  2007  23  3.61  6.5  -3.0  0.0  0.624
Jeongeup  2007  24  9.137  7.6  -1.7  0.0  0.862
Jeongeup  2007  25  8.249  7.0  -3.5  0.0  0.801
Jeongeup  2007  26  3.695  3.9  -1.6  5.0  0.64
Jeongeup  2007  27  5.195  4.5  -0.6  5.0  0.66
Jeongeup  2007  28  4.051  3.0  -1.7  1.0  0.588
Jeongeup  2007  29  10.255  6.1  -4.0  0.0  0.862
Jeongeup  2007  30  4.267  5.5  -1.6  0.7  0.899
Jeongeup  2007  31  9.189  5.0  -5.0  1.0  0.89
Jeongeup  2007  32  4.488  0.6  -4.5  1.5  0.728
Jeongeup  2007  33  8.709  0.2  -5.5  2.5  0.769
Jeongeup  2007  34  10.531  9.1  -4.1  0.0  1.186
Jeongeup  2007  35  11.297  10.8  -2.7  0.0  1.095
Jeongeup  2007  36  10.214  13.6  -2.4  0.0  1.142
Jeongeup  2007  37  8.418  16.0  2.4  0.0  1.093
Jeongeup  2007  38  7.148  12.3  3.2  0.0  0.959
Jeongeup  2007  39  4.13  9.1  5.5  18.0  0.782
Jeongeup  2007  40  4.326  7.4  3.7  0.0  0.87
Jeongeup  2007  41  7.156  9.3  0.6  0.0  1.205
Jeongeup  2007  42  11.304  7.3  -1.7  0.0  1.273
Jeongeup  2007  43  12.032  9.1  -2.7  0.0  1.229
Jeongeup  2007  44  4.647  11.1  -1.7  38.0  0.949
Jeongeup  2007  45  5.832  5.6  0.2  4.5  1.255
Jeongeup  2007  46  12.374  6.0  -3.2  0.0  1.312
Jeongeup  2007  47  11.057  11.6  -2.4  0.0  1.227
Jeongeup  2007  48  4.484  7.0  3.2  3.0  0.831
Jeongeup  2007  49  11.636  12.1  1.5  0.0  1.352
Jeongeup  2007  50  12.73  10.5  -0.2  0.0  1.436
Jeongeup  2007  51  12.651  12.8  -2.4  0.0  1.448
Jeongeup  2007  52  12.571  14.8  -1.7  0.0  1.501
Jeongeup  2007  53  8.206  16.8  0.4  0.0  1.435
Jeongeup  2007  54  13.439  8.6  -1.2  0.0  1.872
Jeongeup  2007  55  11.192  10.6  -2.5  0.0  1.424
Jeongeup  2007  56  7.438  13.8  3.4  0.0  1.295
Jeongeup  2007  57  13.632  14.0  0.3  0.0  1.709
Jeongeup  2007  58  13.197  13.6  0.4  0.0  1.664
Jeongeup  2007  59  12.578  15.6  -0.6  0.0  1.668
Jeongeup  2007  60  7.583  17.7  0.6  0.0  1.846
Jeongeup  2007  61  5.222  14.8  9.3  20.5  1.555
Jeongeup  2007  62  7.07  18.2  7.5  1.0  1.344
Jeongeup  2007  63  5.947  18.6  6.5  44.0  1.971
Jeongeup  2007  64  5.176  6.5  -2.4  0.5  1.23
Jeongeup  2007  65  9.342  0.6  -4.5  0.5  1.253
Jeongeup  2007  66  11.895  3.2  -4.0  5.0  1.276
Jeongeup  2007  67  13.548  7.5  -1.5  1.0  1.663
Jeongeup  2007  68  12.518  11.3  -0.5  0.0  1.747
Jeongeup  2007  69  7.737  11.5  -0.5  0.0  1.41
Jeongeup  2007  70  9.203  5.1  -4.8  0.0  1.4
Jeongeup  2007  71  14.082  8.8  -2.2  0.0  1.939
Jeongeup  2007  72  15.023  11.3  -0.3  0.0  2.06
Jeongeup  2007  73  7.676  13.3  1.0  0.0  1.468
Jeongeup  2007  74  12.52  15.1  4.8  0.0  2.1
Jeongeup  2007  75  9.229  14.3  3.5  0.0  1.694
Jeongeup  2007  76  14.703  12.1  0.6  0.0  2.042
Jeongeup  2007  77  8.184  11.8  0.8  0.0  1.477
Jeongeup  2007  78  9.507  11.6  0.2  0.0  1.583
Jeongeup  2007  79  14.171  12.3  -0.4  0.0  2.096
Jeongeup  2007  80  12.873  15.3  1.6  0.0  2.17
Jeongeup  2007  81  13.341  16.7  2.2  0.0  2.219
Jeongeup  2007  82  13.91  21.6  1.7  3.5  2.515
Jeongeup  2007  83  6.018  14.5  7.0  15.5  1.341
Jeongeup  2007  84  13.36  16.2  5.5  0.0  2.165
Jeongeup  2007  85  14.635  20.7  3.0  0.0  3.164
Jeongeup  2007  86  6.751  16.5  7.3  0.0  2.088
Jeongeup  2007  87  12.559  19.7  2.0  0.0  2.529
Jeongeup  2007  88  10.797  22.5  5.5  27.0  2.107
Jeongeup  2007  89  13.808  17.2  6.5  0.0  2.439
Jeongeup  2007  90  6.722  15.8  6.5  0.5  1.712
Jeongeup  2007  91  6.354  11.5  5.6  0.0  1.376
Jeongeup  2007  92  14.83  10.1  2.9  0.0  2.37
Jeongeup  2007  93  16.652  10.3  3.0  0.0  2.835
Jeongeup  2007  94  16.516  10.3  2.0  0.0  2.595
Jeongeup  2007  95  15.444  16.7  0.1  0.0  2.529
Jeongeup  2007  96  15.822  17.1  5.5  0.0  2.761
Jeongeup  2007  97  15.992  16.6  4.0  0.0  2.612
Jeongeup  2007  98  16.266  16.0  4.3  0.0  2.568
Jeongeup  2007  99  18.431  17.2  1.8  0.0  3.023
Jeongeup  2007  100  17.657  19.2  3.9  0.0  3.35
Jeongeup  2007  101  16.877  20.6  3.4  0.0  3.161
Jeongeup  2007  102  14.293  23.5  7.0  0.0  3.603
Jeongeup  2007  103  7.026  17.0  5.3  8.0  1.801
Jeongeup  2007  104  19.399  19.2  3.9  0.0  3.336
Jeongeup  2007  105  9.869  18.8  5.8  0.5  2.239
Jeongeup  2007  106  6.919  9.8  6.9  19.0  1.44
Jeongeup  2007  107  10.7  13.5  4.0  0.0  2.079
Jeongeup  2007  108  18.358  17.2  5.3  0.0  3.126
Jeongeup  2007  109  17.877  21.2  3.7  0.0  3.665
Jeongeup  2007  110  10.714  20.7  9.6  0.0  3.371
Jeongeup  2007  111  9.458  23.7  12.6  0.0  2.836
Jeongeup  2007  112  7.116  19.8  8.1  0.0  1.891
Jeongeup  2007  113  18.841  21.3  6.0  0.0  3.577
Jeongeup  2007  114  11.407  17.7  7.6  0.0  2.525
Jeongeup  2007  115  19.048  20.6  7.0  0.0  3.755
Jeongeup  2007  116  18.443  24.7  7.3  0.0  3.772
Jeongeup  2007  117  14.13  23.7  8.8  0.0  3.199
Jeongeup  2007  118  20.606  22.2  5.8  0.0  4.037
Jeongeup  2007  119  19.887  24.6  5.5  0.0  4.008
Jeongeup  2007  120  7.35  19.6  9.6  3.5  2.116
Jeongeup  2007  121  7.705  15.3  11.0  6.0  1.736
Jeongeup  2007  122  19.246  22.6  9.5  0.0  3.823
Jeongeup  2007  123  12.039  23.1  8.8  0.0  2.885
Jeongeup  2007  124  19.762  25.7  13.1  0.0  4.298
Jeongeup  2007  125  17.489  29.2  10.8  0.0  3.937
Jeongeup  2007  126  7.502  20.5  13.6  0.0  2.026
Jeongeup  2007  127  20.2  27.2  10.6  0.0  4.35
Jeongeup  2007  128  20.014  26.7  12.6  0.0  4.705
Jeongeup  2007  129  10.0  24.3  10.3  13.0  2.908
Jeongeup  2007  130  18.752  22.5  10.5  0.0  3.812
Jeongeup  2007  131  19.998  28.0  8.3  0.0  4.486
Jeongeup  2007  132  7.635  18.8  11.6  11.5  2.247
Jeongeup  2007  133  21.273  25.3  8.3  0.0  4.729
Jeongeup  2007  134  18.974  25.7  16.2  0.0  4.869
Jeongeup  2007  135  19.0  28.2  12.1  0.0  4.452
Jeongeup  2007  136  7.712  21.2  12.6  15.5  2.38
Jeongeup  2007  137  17.717  23.3  12.8  0.0  4.461
Jeongeup  2007  138  15.407  20.5  12.6  0.0  3.802
Jeongeup  2007  139  21.314  23.5  11.5  0.0  4.458
Jeongeup  2007  140  21.891  25.2  10.0  0.0  4.605
Jeongeup  2007  141  11.131  24.2  10.8  0.0  2.943
Jeongeup  2007  142  20.486  28.7  11.6  0.0  4.657
Jeongeup  2007  143  15.167  27.6  13.8  0.0  4.332
Jeongeup  2007  144  12.624  26.7  19.6  20.5  3.811
Jeongeup  2007  145  16.868  25.2  16.2  1.0  3.991
Jeongeup  2007  146  20.778  29.2  13.6  0.0  5.226
Jeongeup  2007  147  13.224  28.7  18.0  0.0  4.016
Jeongeup  2007  148  18.358  28.7  16.3  0.0  4.827
Jeongeup  2007  149  13.026  26.7  16.2  4.0  3.521
Jeongeup  2007  150  16.49  24.2  14.8  0.0  3.796
Jeongeup  2007  151  20.178  27.8  13.1  0.0  4.735
Jeongeup  2007  152  7.935  22.3  15.6  0.0  2.296
Jeongeup  2007  153  13.626  25.5  14.1  0.0  3.465
Jeongeup  2007  154  15.975  27.2  15.1  0.0  3.887
Jeongeup  2007  155  13.087  27.1  16.8  0.0  3.392
Jeongeup  2007  156  15.658  27.1  17.0  0.0  4.005
Jeongeup  2007  157  15.888  27.6  18.2  0.0  3.987
Jeongeup  2007  158  10.991  27.5  17.3  3.0  2.855
Jeongeup  2007  159  20.804  27.7  16.2  0.0  4.832
Jeongeup  2007  160  18.804  27.3  16.8  0.0  4.595
Jeongeup  2007  161  21.706  28.8  14.0  0.0  5.049
Jeongeup  2007  162  19.036  28.3  16.0  0.0  4.666
Jeongeup  2007  163  14.025  28.7  16.6  0.0  3.736
Jeongeup  2007  164  8.012  26.3  18.1  0.0  2.458
Jeongeup  2007  165  8.015  23.8  16.7  3.0  2.221
Jeongeup  2007  166  10.802  27.1  16.8  0.0  3.035
Jeongeup  2007  167  20.274  31.2  15.5  0.0  5.422
Jeongeup  2007  168  12.699  28.7  19.6  0.0  3.75
Jeongeup  2007  169  19.494  30.2  17.3  0.0  4.876
Jeongeup  2007  170  19.271  32.4  18.5  0.0  4.951
Jeongeup  2007  171  12.811  29.3  18.2  0.0  3.577
Jeongeup  2007  172  8.021  28.3  21.6  34.0  2.47
Jeongeup  2007  173  8.02  23.2  21.2  2.5  2.189
Jeongeup  2007  174  8.019  24.7  19.8  31.5  2.203
Jeongeup  2007  175  8.239  25.5  20.1  16.5  2.347
Jeongeup  2007  176  8.125  26.1  19.5  3.0  2.276
Jeongeup  2007  177  13.019  30.2  21.0  0.0  3.481
Jeongeup  2007  178  11.123  30.8  19.5  0.0  3.243
Jeongeup  2007  179  10.45  31.1  24.3  0.0  3.499
Jeongeup  2007  180  15.006  29.1  21.1  8.5  3.98
Jeongeup  2007  181  17.113  32.2  18.7  4.0  4.505
Jeongeup  2007  182  8.543  26.2  20.7  48.0  2.463
Jeongeup  2007  183  9.76  29.2  22.5  0.0  3.044
Jeongeup  2007  184  7.974  25.3  21.2  0.0  2.34
Jeongeup  2007  185  14.191  28.3  20.1  30.0  3.625
Jeongeup  2007  186  13.848  29.2  19.6  0.0  3.696
Jeongeup  2007  187  11.617  29.3  21.2  0.0  3.28
Jeongeup  2007  188  11.607  30.0  21.3  0.0  3.301
Jeongeup  2007  189  11.264  31.6  21.5  0.0  3.259
Jeongeup  2007  190  7.923  24.6  20.2  43.5  2.429
Jeongeup  2007  191  7.913  23.2  20.2  9.0  2.162
Jeongeup  2007  192  10.675  28.8  20.2  0.0  2.973
Jeongeup  2007  193  13.547  30.8  20.3  0.0  3.604
Jeongeup  2007  194  11.87  30.6  21.5  1.0  3.356
Jeongeup  2007  195  19.061  30.3  20.8  0.0  5.062
Jeongeup  2007  196  13.172  29.7  19.5  10.5  3.729
Jeongeup  2007  197  8.837  24.7  19.7  4.5  2.638
Jeongeup  2007  198  14.026  28.5  19.5  4.0  3.685
Jeongeup  2007  199  16.997  32.2  20.2  0.0  4.582
Jeongeup  2007  200  7.797  29.5  24.6  25.5  2.522
Jeongeup  2007  201  7.781  26.2  22.7  0.0  2.267
Jeongeup  2007  202  7.765  23.7  20.0  2.0  2.197
Jeongeup  2007  203  16.916  29.0  18.7  0.0  4.203
Jeongeup  2007  204  12.699  29.5  21.5  0.0  3.425
Jeongeup  2007  205  10.913  33.2  22.1  0.0  3.226
Jeongeup  2007  206  12.437  31.5  24.2  0.0  3.703
Jeongeup  2007  207  12.746  32.9  23.7  0.0  3.628
Jeongeup  2007  208  11.622  31.7  23.5  0.0  3.4
Jeongeup  2007  209  16.002  33.4  24.5  0.0  4.458
Jeongeup  2007  210  9.377  31.6  24.7  0.0  2.872
Jeongeup  2007  211  15.069  32.4  23.2  0.0  4.171
Jeongeup  2007  212  12.187  32.0  22.1  0.0  3.496
Jeongeup  2007  213  15.672  34.2  24.1  0.0  4.824
Jeongeup  2007  214  16.629  34.7  25.1  0.0  4.777
Jeongeup  2007  215  15.722  34.2  25.2  0.0  4.428
Jeongeup  2007  216  10.768  34.0  23.7  12.5  3.427
Jeongeup  2007  217  9.101  29.5  22.1  27.5  2.708
Jeongeup  2007  218  8.748  29.2  23.2  1.5  2.806
Jeongeup  2007  219  7.522  30.7  24.1  53.5  2.466
Jeongeup  2007  220  11.635  34.2  25.1  0.0  3.89
Jeongeup  2007  221  10.19  33.9  26.5  1.5  3.326
Jeongeup  2007  222  14.397  33.5  24.5  11.5  4.156
Jeongeup  2007  223  15.121  33.5  25.8  0.0  5.088
Jeongeup  2007  224  7.497  30.5  23.8  21.5  2.825
Jeongeup  2007  225  7.793  30.0  24.3  7.0  2.585
Jeongeup  2007  226  7.44  29.0  23.3  25.5  2.486
Jeongeup  2007  227  9.137  32.7  22.5  6.5  2.872
Jeongeup  2007  228  15.244  35.2  24.1  0.0  4.267
Jeongeup  2007  229  16.814  33.7  22.7  0.0  4.53
Jeongeup  2007  230  11.399  32.2  23.8  0.0  3.268
Jeongeup  2007  231  15.112  34.0  23.1  0.0  4.119
Jeongeup  2007  232  10.252  32.5  23.3  0.0  3.096
Jeongeup  2007  233  14.485  34.2  24.3  9.5  4.012
Jeongeup  2007  234  12.733  32.7  24.2  0.0  3.599
Jeongeup  2007  235  14.709  33.2  23.3  0.0  3.96
Jeongeup  2007  236  14.023  33.2  23.2  0.0  3.821
Jeongeup  2007  237  14.715  34.9  23.7  0.0  4.082
Jeongeup  2007  238  13.078  33.2  24.5  0.0  3.747
Jeongeup  2007  239  11.975  32.7  24.2  0.0  3.582
Jeongeup  2007  240  6.774  28.3  23.1  64.0  2.063
Jeongeup  2007  241  8.207  29.6  23.1  87.5  2.351
Jeongeup  2007  242  6.702  24.7  20.7  10.5  1.83
Jeongeup  2007  243  6.665  27.2  20.3  6.0  1.902
Jeongeup  2007  244  6.629  20.6  17.5  162.5  1.647
Jeongeup  2007  245  6.591  21.7  17.7  3.0  1.696
Jeongeup  2007  246  6.761  25.5  19.5  0.0  1.859
Jeongeup  2007  247  6.515  22.8  19.7  39.5  1.722
Jeongeup  2007  248  6.477  20.7  18.5  79.0  1.627
Jeongeup  2007  249  6.438  20.1  18.0  43.5  1.599
Jeongeup  2007  250  6.399  22.5  17.7  1.0  1.659
Jeongeup  2007  251  13.194  27.1  17.1  0.0  3.088
Jeongeup  2007  252  14.758  28.2  17.6  0.0  3.436
Jeongeup  2007  253  16.413  29.5  17.1  0.0  3.746
Jeongeup  2007  254  14.823  29.6  17.5  0.0  3.431
Jeongeup  2007  255  12.538  29.3  16.7  0.0  2.944
Jeongeup  2007  256  9.567  29.2  17.5  0.0  2.471
Jeongeup  2007  257  6.115  24.2  18.7  28.0  1.719
Jeongeup  2007  258  6.074  24.2  20.2  33.5  1.674
Jeongeup  2007  259  6.032  21.6  19.6  105.5  1.562
Jeongeup  2007  260  10.534  30.2  19.3  1.0  2.619
Jeongeup  2007  261  9.195  29.2  20.8  1.0  2.601
Jeongeup  2007  262  10.511  31.8  23.7  0.0  3.164
Jeongeup  2007  263  12.988  32.4  25.2  0.5  4.15
Jeongeup  2007  264  6.985  28.2  21.1  0.0  2.282
Jeongeup  2007  265  5.775  27.1  20.3  10.5  1.663
Jeongeup  2007  266  5.732  23.1  18.7  16.5  1.523
Jeongeup  2007  267  6.36  25.8  19.2  27.0  1.652
Jeongeup  2007  268  10.326  27.2  19.5  0.0  2.443
Jeongeup  2007  269  8.454  27.6  19.5  0.0  2.147
Jeongeup  2007  270  13.794  29.2  19.5  0.0  3.304
Jeongeup  2007  271  5.89  23.8  13.3  12.5  1.666
Jeongeup  2007  272  9.409  26.0  12.3  0.0  2.111
Jeongeup  2007  273  5.426  20.3  16.7  0.0  1.444
Jeongeup  2007  274  8.911  24.0  15.8  0.0  1.988
Jeongeup  2007  275  13.286  26.6  15.1  0.0  2.7
Jeongeup  2007  276  6.489  26.2  16.1  0.0  1.698
Jeongeup  2007  277  7.171  25.0  17.7  3.5  1.756
Jeongeup  2007  278  10.667  28.0  16.1  0.0  2.304
Jeongeup  2007  279  13.765  27.5  15.0  0.0  2.804
Jeongeup  2007  280  6.739  25.6  14.3  15.0  1.581
Jeongeup  2007  281  5.432  19.3  11.3  1.5  1.403
Jeongeup  2007  282  13.231  21.6  9.1  0.0  2.233
Jeongeup  2007  283  12.877  25.2  9.8  0.0  2.27
Jeongeup  2007  284  5.384  19.2  12.1  0.0  1.47
Jeongeup  2007  285  4.988  20.6  13.0  0.0  1.354
Jeongeup  2007  286  6.252  19.6  11.0  0.0  1.453
Jeongeup  2007  287  11.752  21.6  9.3  0.0  1.982
Jeongeup  2007  288  11.67  20.7  9.6  0.0  1.98
Jeongeup  2007  289  11.846  20.5  9.1  0.0  1.982
Jeongeup  2007  290  10.996  20.2  8.0  0.0  1.838
Jeongeup  2007  291  10.748  20.7  6.5  0.0  1.743
Jeongeup  2007  292  7.974  18.0  7.9  14.0  1.605
Jeongeup  2007  293  8.5  13.1  4.3  0.0  1.536
Jeongeup  2007  294  11.852  18.7  4.4  0.0  1.723
Jeongeup  2007  295  10.195  20.2  8.1  0.0  1.674
Jeongeup  2007  296  11.027  21.7  7.5  0.0  1.658
Jeongeup  2007  297  10.949  23.5  9.3  0.0  1.738
Jeongeup  2007  298  4.36  19.7  11.3  21.5  1.046
Jeongeup  2007  299  7.719  20.0  11.5  3.5  1.441
