[weather.met.weather]
!Title  =  Namwon  2007-2020
latitude  =35.4885
Longitude  =128.7464
!  TAV  and  AMP  inserted  by  'tav_amp'  on  31/12/2020  at  10:00  for  period  from      1/2007  to  366/2020  (ddd/yyyy)
tav  =    14.03  (oC)          !  annual  average  ambient  temperature
amp  =    16.68  (oC)          !  annual  amplitude  in  mean  monthly  temperature
  
  
site  year  day  radn  maxt  mint  rain  evap
()  ()  ()  (MJ/m2)  (oC)  (oC)  (mm)  (mm)
Miryang  2007  1  5.521  9.8  -2.7  0.0  0.738
Miryang  2007  2  7.464  14.5  1.7  0.0  0.823
Miryang  2007  3  3.489  10.6  2.2  0.0  1.291
Miryang  2007  4  6.307  11.6  -2.4  0.0  0.758
Miryang  2007  5  5.458  11.3  -3.9  0.0  0.66
Miryang  2007  6  5.411  6.8  -2.5  0.0  1.06
Miryang  2007  7  8.599  7.3  -4.0  0.0  1.318
Miryang  2007  8  9.308  6.8  -6.5  0.0  1.121
Miryang  2007  9  9.345  8.3  -7.9  0.0  0.644
Miryang  2007  10  9.383  7.8  -7.6  0.0  0.8
Miryang  2007  11  8.33  8.0  -8.1  0.0  0.653
Miryang  2007  12  7.339  7.0  -7.0  0.0  0.939
Miryang  2007  13  8.339  4.5  -7.4  0.0  0.865
Miryang  2007  14  9.624  8.5  -10.6  0.0  0.769
Miryang  2007  15  8.56  9.3  -7.0  0.0  0.771
Miryang  2007  16  3.514  7.4  -0.1  0.0  0.775
Miryang  2007  17  6.549  10.3  -3.7  0.0  0.92
Miryang  2007  18  8.768  11.0  -4.9  0.0  1.013
Miryang  2007  19  8.817  10.1  -8.6  0.0  0.775
Miryang  2007  20  3.539  7.5  -2.0  0.0  0.775
Miryang  2007  21  4.707  12.6  -1.5  0.0  0.756
Miryang  2007  22  8.972  9.3  -4.6  0.0  0.949
Miryang  2007  23  3.618  8.8  -5.0  0.0  0.651
Miryang  2007  24  9.807  12.6  -4.0  0.0  1.048
Miryang  2007  25  9.868  10.5  -7.9  0.0  0.852
