[weather.met.weather]
!Title  =  Namwon  2007-2020
latitude  =36.0297
Longitude  =129.382
!  TAV  and  AMP  inserted  by  'tav_amp'  on  31/12/2020  at  10:00  for  period  from      1/2007  to  366/2020  (ddd/yyyy)
tav  =    14.79  (oC)          !  annual  average  ambient  temperature
amp  =    18.15  (oC)          !  annual  amplitude  in  mean  monthly  temperature
  
  
site  year  day  radn  maxt  mint  rain  evap
()  ()  ()  (MJ/m2)  (oC)  (oC)  (mm)  (mm)
Pohang  2007  1  6.98  11.2  1.8  0.0  2.0
Pohang  2007  2  6.38  13.2  5.8  3.0  0.8
Pohang  2007  3  3.69  9.4  5.5  2.5  0.5
Pohang  2007  4  1.5  7.1  5.1  3.5  0.3
Pohang  2007  5  6.33  11.0  4.7  0.0  1.4
Pohang  2007  6  8.65  6.7  -0.8  0.0  2.7
Pohang  2007  7  10.59  5.3  -2.4  0.0  2.9
Pohang  2007  8  12.29  5.9  -0.9  0.0  3.6
Pohang  2007  9  12.23  7.3  -2.7  0.0  2.7
Pohang  2007  10  11.57  7.5  -1.1  0.0  2.9
Pohang  2007  11  8.45  6.6  -1.1  0.0  2.4
Pohang  2007  12  10.41  5.5  -1.3  0.0  3.2
Pohang  2007  13  11.35  3.9  -4.1  0.0  2.4
Pohang  2007  14  12.75  7.6  -4.5  0.0  3.2
Pohang  2007  15  11.09  10.1  -0.4  0.0  4.4
Pohang  2007  16  4.18  9.3  3.9  0.0  2.8
Pohang  2007  17  8.01  9.9  2.5  0.0  2.2
Pohang  2007  18  11.41  9.7  1.0  0.0  2.9
Pohang  2007  19  12.82  9.9  -1.6  0.0  2.7
Pohang  2007  20  3.48  10.1  2.5  0.0  0.6
Pohang  2007  21  5.68  10.3  3.7  0.0  1.4
Pohang  2007  22  9.12  10.3  2.0  0.0  2.0
Pohang  2007  23  7.94  10.5  1.3  0.0  2.4
Pohang  2007  24  9.13  10.8  3.2  0.0  1.7
Pohang  2007  25  11.29  9.6  0.5  0.0  3.1
Pohang  2007  26  7.99  8.6  1.0  0.0  1.7
Pohang  2007  27  8.06  5.9  1.0  0.0  1.5
Pohang  2007  28  11.54  7.3  -1.1  0.0  2.7
Pohang  2007  29  12.15  10.3  -1.1  0.0  2.4
Pohang  2007  30  9.56  10.1  -0.5  0.0  3.0
Pohang  2007  31  12.19  5.1  -2.7  0.0  3.3
Pohang  2007  32  11.98  2.4  -4.0  0.0  3.0
Pohang  2007  33  13.07  4.6  -4.9  0.0  2.7
Pohang  2007  34  12.72  9.6  -2.5  0.0  3.5
Pohang  2007  35  12.76  12.6  1.3  0.0  2.9
Pohang  2007  36  12.65  15.6  3.5  0.0  3.6
Pohang  2007  37  10.35  17.2  6.6  0.0  2.7
Pohang  2007  38  6.62  12.6  6.3  0.0  0.9
Pohang  2007  39  1.09  10.0  7.3  16.0  0.2
Pohang  2007  40  3.21  10.3  5.3  1.5  1.1
Pohang  2007  41  9.68  10.1  2.7  0.0  1.1
Pohang  2007  42  14.59  10.3  0.3  0.0  3.1
Pohang  2007  43  14.18  12.0  0.3  0.0  2.6
Pohang  2007  44  8.65  13.3  1.2  16.0  2.9
Pohang  2007  45  12.07  9.8  -0.4  8.0  3.5
Pohang  2007  46  15.82  8.1  -1.5  0.0  3.2
Pohang  2007  47  11.75  10.1  -0.3  0.0  1.5
Pohang  2007  48  2.05  8.8  5.9  7.5  0.8
Pohang  2007  49  10.31  11.3  4.0  0.0  1.6
Pohang  2007  50  13.63  14.1  4.0  0.0  1.9
Pohang  2007  51  14.19  13.3  4.6  0.0  2.3
Pohang  2007  52  15.17  17.2  4.1  0.0  3.4
Pohang  2007  53  11.2  16.3  4.5  0.0  2.6
Pohang  2007  54  15.89  12.6  5.6  0.0  2.2
Pohang  2007  55  3.62  7.0  2.5  5.0  0.2
Pohang  2007  56  11.06  10.1  3.7  0.5  2.1
Pohang  2007  57  10.61  12.3  5.4  0.0  1.7
Pohang  2007  58  14.96  17.2  3.0  0.0  3.1
Pohang  2007  59  12.45  10.0  4.0  0.0  2.0
Pohang  2007  60  14.87  13.0  1.0  0.0  2.1
Pohang  2007  61  5.68  13.5  6.8  1.0  0.7
Pohang  2007  62  3.74  13.0  10.1  0.0  0.4
Pohang  2007  63  1.28  17.3  9.5  11.5  0.2
Pohang  2007  64  16.36  16.5  -1.5  2.5  4.0
Pohang  2007  65  19.78  4.0  -4.6  0.0  3.8
Pohang  2007  66  20.35  5.0  -3.9  0.0  3.5
Pohang  2007  67  19.74  8.6  -0.8  0.0  3.7
Pohang  2007  68  18.75  12.3  1.6  0.0  3.5
Pohang  2007  69  17.92  15.5  2.7  0.0  5.0
Pohang  2007  70  20.71  7.4  -2.5  0.0  4.5
Pohang  2007  71  20.33  11.1  0.8  0.0  4.6
Pohang  2007  72  17.9  13.1  2.7  0.0  3.8
Pohang  2007  73  14.67  12.5  4.1  0.0  2.6
Pohang  2007  74  8.48  13.3  6.6  0.0  1.2
Pohang  2007  75  8.69  10.3  6.0  0.5  0.5
Pohang  2007  76  4.08  6.5  3.2  5.0  0.3
Pohang  2007  77  13.4  10.3  0.8  0.0  2.3
Pohang  2007  78  8.19  10.3  2.7  8.0  0.6
Pohang  2007  79  10.56  10.1  3.0  0.0  1.9
Pohang  2007  80  17.16  16.0  2.9  0.0  3.2
Pohang  2007  81  18.07  17.6  6.9  0.0  3.7
Pohang  2007  82  18.51  20.3  7.8  0.0  4.6
Pohang  2007  83  7.27  18.6  9.3  6.0  2.0
Pohang  2007  84  21.83  19.8  9.8  0.0  5.9
Pohang  2007  85  19.57  20.7  8.5  0.0  5.1
Pohang  2007  86  11.22  20.5  12.3  0.0  3.7
Pohang  2007  87  17.57  19.7  8.6  1.5  4.0
Pohang  2007  88  2.36  13.8  7.5  23.5  2.4
Pohang  2007  89  18.17  15.1  6.9  0.0  3.6
Pohang  2007  90  7.21  17.1  9.8  12.0  1.8
Pohang  2007  91  8.14  15.6  9.6  0.0  2.9
Pohang  2007  92  20.87  15.0  6.0  0.0  4.7
Pohang  2007  93  23.2  13.1  3.7  0.0  4.6
Pohang  2007  94  22.42  12.1  3.2  1.0  3.5
Pohang  2007  95  22.85  15.3  2.9  0.0  4.9
Pohang  2007  96  21.39  18.6  7.1  0.0  5.5
Pohang  2007  97  21.6  18.3  9.0  0.0  4.6
Pohang  2007  98  13.82  17.1  7.4  0.0  2.8
Pohang  2007  99  23.61  16.7  6.8  0.0  5.7
Pohang  2007  100  19.6  20.1  7.9  0.0  4.5
Pohang  2007  101  13.07  15.1  10.6  0.0  2.5
Pohang  2007  102  15.31  20.8  11.1  0.0  3.8
Pohang  2007  103  16.37  23.5  11.6  13.0  5.1
Pohang  2007  104  23.27  17.5  8.6  0.0  4.7
Pohang  2007  105  15.42  14.8  8.8  3.5  2.9
Pohang  2007  106  3.45  9.6  6.1  17.0  1.1
Pohang  2007  107  11.84  13.1  5.0  2.5  1.0
Pohang  2007  108  16.39  13.6  7.0  0.0  2.3
Pohang  2007  109  23.9  21.7  6.5  0.0  6.1
Pohang  2007  110  18.13  21.8  11.3  0.0  5.3
Pohang  2007  111  16.93  25.2  16.8  0.0  4.9
Pohang  2007  112  7.84  20.7  11.3  0.0  1.9
Pohang  2007  113  24.95  15.6  10.1  0.0  4.6
Pohang  2007  114  13.81  19.6  8.5  0.0  3.5
Pohang  2007  115  25.63  22.5  11.0  0.0  7.9
Pohang  2007  116  24.09  24.6  11.6  0.0  5.3
Pohang  2007  117  14.31  20.7  11.3  0.0  4.4
Pohang  2007  118  26.69  24.8  11.8  0.0  7.5
Pohang  2007  119  26.11  27.6  14.1  0.0  8.4
Pohang  2007  120  11.47  23.3  12.6  4.0  4.6
Pohang  2007  121  2.66  14.8  12.0  19.0  1.2
Pohang  2007  122  24.77  25.2  11.5  0.5  5.5
Pohang  2007  123  21.61  26.2  14.8  0.0  6.7
Pohang  2007  124  25.49  28.2  15.8  0.0  7.2
Pohang  2007  125  22.81  20.5  14.5  0.0  2.8
Pohang  2007  126  5.21  16.2  13.1  0.0  1.2
Pohang  2007  127  26.24  30.0  12.3  0.0  9.3
Pohang  2007  128  16.66  29.2  20.0  0.0  5.8
Pohang  2007  129  20.5  23.3  11.6  11.5  4.4
Pohang  2007  130  24.09  22.7  10.1  0.0  4.4
Pohang  2007  131  25.31  22.7  11.6  0.0  6.5
Pohang  2007  132  2.75  18.1  14.3  4.0  1.5
Pohang  2007  133  28.41  25.7  12.6  0.0  8.2
Pohang  2007  134  25.47  28.2  16.0  0.0  7.1
Pohang  2007  135  23.65  22.3  14.1  0.0  5.3
Pohang  2007  136  6.41  22.3  15.0  3.5  2.3
Pohang  2007  137  26.33  26.1  14.6  0.0  6.3
Pohang  2007  138  26.25  26.5  13.1  1.0  5.0
Pohang  2007  139  16.21  17.7  13.0  1.0  2.7
Pohang  2007  140  12.48  19.2  14.0  0.0  2.6
Pohang  2007  141  19.13  24.8  14.1  0.0  5.6
Pohang  2007  142  29.14  29.7  14.6  0.0  8.7
Pohang  2007  143  23.8  28.2  17.7  0.0  7.4
Pohang  2007  144  24.02  28.2  16.8  20.5  9.3
Pohang  2007  145  23.69  28.7  15.0  9.0  7.5
Pohang  2007  146  26.7  31.8  19.5  0.0  10.0
Pohang  2007  147  23.48  25.3  14.5  0.0  4.9
Pohang  2007  148  13.7  17.5  13.8  0.0  2.6
Pohang  2007  149  20.27  26.3  13.0  3.0  4.2
Pohang  2007  150  18.28  19.2  14.6  8.5  3.8
Pohang  2007  151  26.68  20.0  13.6  0.0  4.8
Pohang  2007  152  12.9  18.1  13.8  0.0  2.6
Pohang  2007  153  14.07  19.0  15.5  0.0  2.3
Pohang  2007  154  19.97  20.7  15.6  0.0  3.9
Pohang  2007  155  20.27  28.2  14.8  0.0  5.0
Pohang  2007  156  23.58  30.5  21.2  0.0  7.8
Pohang  2007  157  26.22  31.2  21.3  0.0  9.5
Pohang  2007  158  18.36  29.0  21.2  0.0  5.9
Pohang  2007  159  16.79  24.1  15.5  37.5  8.9
Pohang  2007  160  24.73  20.8  14.1  1.0  4.6
Pohang  2007  161  22.17  20.6  16.3  0.0  3.7
Pohang  2007  162  28.14  26.7  15.1  0.0  6.0
Pohang  2007  163  25.88  31.3  19.0  0.0  6.4
Pohang  2007  164  11.95  26.2  20.1  0.3  4.9
Pohang  2007  165  8.91  21.7  17.2  26.5  1.9
Pohang  2007  166  8.88  20.2  16.6  0.0  2.0
Pohang  2007  167  31.79  23.6  15.3  0.0  6.0
Pohang  2007  168  15.82  21.5  17.2  2.5  3.5
Pohang  2007  169  31.06  22.2  16.2  0.0  5.7
Pohang  2007  170  11.35  22.6  16.8  0.0  2.4
Pohang  2007  171  26.58  30.8  18.7  0.0  7.3
Pohang  2007  172  12.28  28.5  19.5  17.5  4.8
Pohang  2007  173  9.05  22.7  19.0  14.0  2.1
Pohang  2007  174  15.01  25.6  17.3  12.5  2.0
Pohang  2007  175  5.36  22.0  17.7  46.0  1.5
Pohang  2007  176  16.21  22.8  19.1  0.1  2.9
Pohang  2007  177  19.39  24.0  19.8  0.0  4.0
Pohang  2007  178  21.08  30.7  21.7  0.0  5.1
Pohang  2007  179  14.51  31.7  24.8  0.0  4.2
Pohang  2007  180  20.61  31.7  21.5  1.0  6.1
Pohang  2007  181  18.61  23.2  20.3  0.0  4.1
Pohang  2007  182  3.55  21.0  18.5  45.5  0.4
Pohang  2007  183  5.58  23.6  20.0  4.5  1.9
Pohang  2007  184  15.25  24.5  20.7  0.5  3.9
Pohang  2007  185  7.75  23.7  20.2  24.0  1.6
Pohang  2007  186  22.88  30.0  20.0  0.0  5.6
Pohang  2007  187  16.9  24.7  21.5  0.0  5.2
Pohang  2007  188  20.61  25.3  21.0  0.0  3.9
Pohang  2007  189  11.58  24.6  21.0  0.0  2.3
Pohang  2007  190  7.81  23.2  20.0  17.0  2.1
Pohang  2007  191  4.92  22.7  20.0  41.5  1.6
Pohang  2007  192  17.39  23.2  19.2  0.0  3.4
Pohang  2007  193  21.12  28.8  19.8  0.0  4.7
Pohang  2007  194  7.9  22.7  19.1  12.5  3.0
Pohang  2007  195  5.61  19.6  18.3  29.0  1.7
Pohang  2007  196  27.6  23.8  19.0  0.0  5.1
Pohang  2007  197  5.46  21.2  17.2  11.5  0.9
Pohang  2007  198  5.09  21.5  19.6  1.5  1.1
Pohang  2007  199  28.47  28.8  19.0  0.0  5.6
Pohang  2007  200  11.85  29.7  22.3  2.5  3.4
Pohang  2007  201  6.7  26.5  20.6  11.5  1.6
Pohang  2007  202  6.8  24.5  20.0  3.0  1.7
Pohang  2007  203  18.17  24.6  20.6  0.1  2.9
Pohang  2007  204  19.01  28.0  20.3  0.5  3.8
Pohang  2007  205  9.69  27.5  22.8  0.0  1.6
Pohang  2007  206  19.62  33.5  23.8  0.0  5.6
Pohang  2007  207  25.57  31.1  24.7  0.0  6.2
Pohang  2007  208  26.83  35.5  26.1  0.0  8.6
Pohang  2007  209  23.17  34.4  26.8  0.0  9.0
Pohang  2007  210  16.38  29.2  21.6  15.0  3.8
Pohang  2007  211  25.0  26.1  20.7  0.0  5.5
Pohang  2007  212  25.17  32.5  21.3  0.0  6.4
Pohang  2007  213  25.45  34.7  24.1  0.0  8.2
Pohang  2007  214  19.43  33.0  25.1  0.0  6.2
Pohang  2007  215  16.08  27.7  22.2  6.5  3.7
Pohang  2007  216  24.5  34.5  22.2  0.0  7.8
Pohang  2007  217  12.51  31.0  25.8  0.1  3.8
Pohang  2007  218  9.65  28.7  23.8  2.0  3.0
Pohang  2007  219  11.2  29.0  22.6  25.0  2.4
Pohang  2007  220  2.24  27.2  23.1  10.5  2.2
Pohang  2007  221  18.68  32.7  25.1  0.0  4.8
Pohang  2007  222  22.33  33.5  25.5  0.0  6.4
Pohang  2007  223  16.87  32.2  23.8  0.0  5.1
Pohang  2007  224  14.71  29.7  25.3  0.3  4.8
Pohang  2007  225  11.68  29.6  25.3  10.0  4.3
Pohang  2007  226  9.82  29.7  26.2  0.4  3.1
Pohang  2007  227  16.04  33.0  25.0  0.1  4.7
Pohang  2007  228  26.49  35.2  24.7  0.0  7.0
Pohang  2007  229  25.54  32.0  22.7  0.0  6.2
Pohang  2007  230  17.16  32.5  22.7  0.0  4.2
Pohang  2007  231  21.92  34.5  21.5  0.0  6.7
Pohang  2007  232  24.42  34.0  24.1  0.0  7.8
Pohang  2007  233  24.29  35.2  26.7  0.0  8.3
Pohang  2007  234  12.91  32.5  22.8  0.0  3.6
Pohang  2007  235  24.18  28.2  22.3  0.0  5.6
Pohang  2007  236  19.0  33.0  23.6  0.0  6.7
Pohang  2007  237  23.91  36.0  25.7  0.0  8.8
Pohang  2007  238  21.94  35.9  24.7  2.5  7.1
Pohang  2007  239  17.26  33.2  24.6  0.2  5.3
Pohang  2007  240  3.5  27.1  21.5  15.5  3.1
Pohang  2007  241  2.62  21.8  17.8  21.0  1.4
Pohang  2007  242  3.66  21.8  17.8  12.0  1.5
Pohang  2007  243  10.76  25.5  18.3  1.0  3.6
Pohang  2007  244  2.18  21.1  17.7  103.0  2.2
Pohang  2007  245  5.17  22.2  18.6  3.0  1.0
Pohang  2007  246  8.42  24.1  19.8  0.0  1.8
Pohang  2007  247  6.27  23.6  18.3  8.5  1.9
Pohang  2007  248  4.38  21.0  18.8  39.0  1.8
Pohang  2007  249  3.61  20.5  18.7  17.0  1.8
Pohang  2007  250  14.12  24.7  18.2  6.0  2.2
Pohang  2007  251  19.98  27.6  18.6  1.5  5.5
Pohang  2007  252  16.12  27.0  19.5  0.0  5.5
Pohang  2007  253  22.04  29.8  18.6  0.0  7.1
Pohang  2007  254  14.58  28.5  21.0  0.0  5.3
Pohang  2007  255  19.37  25.5  20.1  0.0  4.4
Pohang  2007  256  16.43  25.8  18.2  0.0  5.8
Pohang  2007  257  3.26  22.2  18.7  49.5  2.2
Pohang  2007  258  2.82  22.2  19.0  29.5  1.9
Pohang  2007  259  5.8  22.0  19.2  99.5  1.2
Pohang  2007  260  12.56  24.2  20.2  9.0  2.4
Pohang  2007  261  5.53  23.0  20.1  0.5  1.4
Pohang  2007  262  18.82  31.8  21.2  0.0  5.6
Pohang  2007  263  20.46  31.8  23.7  0.0  6.3
Pohang  2007  264  16.27  32.5  24.7  0.0  5.7
Pohang  2007  265  4.92  25.2  19.5  0.0  5.0
Pohang  2007  266  3.92  22.5  19.7  0.3  1.2
Pohang  2007  267  6.43  21.2  17.7  13.5  1.1
Pohang  2007  268  17.12  23.6  17.3  0.0  3.3
Pohang  2007  269  14.2  23.7  18.7  0.0  3.2
Pohang  2007  270  19.17  29.5  18.2  0.0  5.9
Pohang  2007  271  3.09  23.5  17.7  11.0  1.7
Pohang  2007  272  6.88  22.2  16.7  4.0  1.0
Pohang  2007  273  6.33  21.7  16.8  0.4  1.2
Pohang  2007  274  9.18  22.6  16.8  0.0  1.8
Pohang  2007  275  12.1  23.7  17.6  0.0  2.9
Pohang  2007  276  8.78  23.1  18.5  0.0  2.1
Pohang  2007  277  6.04  23.2  18.7  2.5  1.3
Pohang  2007  278  15.87  23.8  18.2  0.1  3.4
Pohang  2007  279  17.66  23.6  18.0  0.0  3.8
Pohang  2007  280  14.56  27.6  15.3  1.0  3.5
Pohang  2007  281  8.67  22.8  17.2  2.5  1.5
Pohang  2007  282  11.85  21.2  13.8  0.0  2.8
Pohang  2007  283  5.18  21.3  14.6  1.0  1.5
Pohang  2007  284  9.13  21.3  13.6  0.3  3.0
Pohang  2007  285  10.67  22.5  15.1  0.0  2.7
Pohang  2007  286  11.03  22.2  14.6  1.0  2.8
Pohang  2007  287  5.98  19.1  13.8  23.5  1.3
Pohang  2007  288  5.15  17.3  12.6  5.5  1.4
Pohang  2007  289  14.94  20.6  11.1  1.0  2.5
Pohang  2007  290  14.62  19.8  10.8  0.0  2.9
Pohang  2007  291  7.39  18.7  11.3  10.0  2.6
Pohang  2007  292  12.47  20.2  9.3  0.5  4.5
Pohang  2007  293  16.52  12.3  7.3  0.0  4.2
Pohang  2007  294  15.92  19.2  6.4  0.0  3.5
Pohang  2007  295  13.08  21.3  10.6  0.0  3.9
Pohang  2007  296  12.15  20.8  12.0  0.0  1.9
Pohang  2007  297  10.56  20.7  11.0  0.0  1.4
Pohang  2007  298  5.57  20.4  12.6  1.5  1.3
Pohang  2007  299  2.41  17.2  14.6  10.0  0.9
Pohang  2007  300  13.76  19.5  11.1  0.0  3.6
Pohang  2007  301  12.05  20.5  8.8  0.0  2.6
Pohang  2007  302  9.49  16.6  10.6  0.0  2.9
Pohang  2007  303  8.16  18.2  9.1  0.0  2.4
Pohang  2007  304  11.39  19.5  7.8  0.0  3.5
Pohang  2007  305  11.83  15.5  7.5  0.0  3.3
Pohang  2007  306  13.75  15.1  5.8  0.0  3.0
Pohang  2007  307  13.61  17.7  6.4  0.0  2.6
Pohang  2007  308  11.42  18.8  8.5  0.0  2.1
Pohang  2007  309  4.44  17.0  10.3  0.0  1.1
Pohang  2007  310  7.22  17.3  11.1  0.0  2.0
Pohang  2007  311  12.43  20.2  8.6  0.0  3.4
Pohang  2007  312  10.33  19.1  9.5  0.0  4.5
Pohang  2007  313  10.33  18.7  10.6  0.0  2.1
Pohang  2007  314  11.17  16.5  9.6  0.0  3.3
Pohang  2007  315  12.78  15.8  7.6  0.0  3.2
Pohang  2007  316  12.38  15.6  5.5  0.0  2.9
Pohang  2007  317  11.45  17.7  5.3  0.0  3.2
Pohang  2007  318  10.06  18.0  8.6  0.0  2.6
Pohang  2007  319  7.47  16.3  8.6  0.0  2.1
Pohang  2007  320  11.6  14.8  5.4  0.0  4.6
Pohang  2007  321  12.2  13.1  3.7  0.0  4.0
Pohang  2007  322  9.64  9.5  -0.5  0.0  3.9
Pohang  2007  323  11.59  7.9  -3.2  0.0  3.7
Pohang  2007  324  11.65  8.0  1.8  0.0  4.3
Pohang  2007  325  10.96  11.0  0.2  0.0  3.7
Pohang  2007  326  11.41  10.0  1.1  0.0  3.5
Pohang  2007  327  8.76  14.0  2.4  0.0  2.9
Pohang  2007  328  8.96  14.8  6.0  0.0  2.5
Pohang  2007  329  10.83  16.0  3.7  0.0  4.1
Pohang  2007  330  7.96  17.3  6.5  0.0  3.4
Pohang  2007  331  8.48  12.1  3.5  0.0  2.7
Pohang  2007  332  10.13  12.5  1.2  0.0  2.0
Pohang  2007  333  4.88  12.8  7.1  2.5  0.9
Pohang  2007  334  10.4  11.3  2.5  0.0  3.5
Pohang  2007  335  10.51  10.6  1.7  0.0  3.1
Pohang  2007  336  4.45  10.1  4.6  8.5  3.0
Pohang  2007  337  10.42  9.1  1.2  0.2  2.7
Pohang  2007  338  10.4  6.4  -1.2  0.0  3.1
Pohang  2007  339  10.57  6.5  -2.5  0.0  3.2
Pohang  2007  340  7.62  6.8  -0.5  0.0  1.3
Pohang  2007  341  9.79  7.8  1.1  0.0  2.0
Pohang  2007  342  11.36  8.0  1.0  0.0  2.3
Pohang  2007  343  11.56  9.6  0.0  0.0  2.3
Pohang  2007  344  6.98  10.0  1.1  0.0  1.1
Pohang  2007  345  6.81  11.6  6.0  3.0  0.7
Pohang  2007  346  1.63  7.4  5.1  0.5  1.1
Pohang  2007  347  8.57  7.1  1.7  0.0  2.6
Pohang  2007  348  11.84  6.8  -0.3  0.0  2.6
Pohang  2007  349  9.23  8.6  -0.3  0.0  2.2
