[weather.met.weather]
!Title  =  Namwon  2007-2020
latitude  =36.7737
Longitude  =126.4959
!  TAV  and  AMP  inserted  by  'tav_amp'  on  31/12/2020  at  10:00  for  period  from      1/2007  to  366/2020  (ddd/yyyy)
tav  =    12.26  (oC)          !  annual  average  ambient  temperature
amp  =    16.41  (oC)          !  annual  amplitude  in  mean  monthly  temperature
  
  
site  year  day  radn  maxt  mint  rain  evap
()  ()  ()  (MJ/m2)  (oC)  (oC)  (mm)  (mm)
Seosan  2007  1  3.34  6.3  -1.7  0.0  0.7
Seosan  2007  2  5.15  6.5  -2.2  0.1  0.9
Seosan  2007  3  8.87  10.1  -2.7  0.0  1.4
Seosan  2007  4  10.08  11.0  -0.3  0.0  1.9
Seosan  2007  5  6.11  9.0  -2.5  0.0  0.8
Seosan  2007  6  4.36  5.0  -1.1  5.0  1.5
Seosan  2007  7  3.13  1.5  -1.8  0.0  1.8
Seosan  2007  8  10.95  2.7  -4.3  0.0  1.9
Seosan  2007  9  8.69  4.8  -6.4  0.4  0.6
Seosan  2007  10  8.08  5.0  -5.4  0.0  2.0
Seosan  2007  11  6.57  4.1  -6.5  0.0  1.8
Seosan  2007  12  9.37  2.0  -3.9  0.0  1.8
Seosan  2007  13  11.14  0.4  -8.1  0.0  2.1
Seosan  2007  14  12.51  4.5  -9.0  0.0  1.4
Seosan  2007  15  8.69  6.8  -6.3  0.0  1.1
Seosan  2007  16  6.55  7.4  -1.7  0.0  1.0
Seosan  2007  17  7.27  6.8  -3.5  0.0  1.9
Seosan  2007  18  11.62  5.0  -5.0  0.0  1.9
Seosan  2007  19  11.72  6.0  -7.8  0.0  1.4
Seosan  2007  20  11.55  6.9  -5.9  0.0  1.6
Seosan  2007  21  9.78  8.1  -6.3  0.0  2.5
Seosan  2007  22  8.88  6.1  -3.9  0.0  1.2
Seosan  2007  23  7.65  7.0  -5.6  0.0  1.2
Seosan  2007  24  11.76  7.4  -5.3  0.0  1.3
Seosan  2007  25  10.04  7.0  -7.0  0.0  1.3
Seosan  2007  26  1.62  2.4  -3.5  3.5  0.9
Seosan  2007  27  5.56  3.5  -2.2  1.4  0.7
Seosan  2007  28  5.02  2.7  -5.1  1.1  0.5
Seosan  2007  29  10.6  4.8  -7.0  0.0  1.3
Seosan  2007  30  10.51  3.7  -3.2  1.0  1.9
Seosan  2007  31  8.57  1.8  -8.8  0.5  1.7
Seosan  2007  32  9.91  0.5  -3.7  0.0  2.4
Seosan  2007  33  13.52  0.6  -7.0  0.0  1.2
Seosan  2007  34  7.64  8.1  -7.6  0.0  1.0
Seosan  2007  35  13.88  9.8  -5.9  0.0  2.2
Seosan  2007  36  7.23  9.8  -4.5  0.0  2.0
Seosan  2007  37  8.46  13.3  2.5  0.0  1.3
Seosan  2007  38  12.57  12.8  -1.6  0.0  1.6
Seosan  2007  39  2.77  7.5  3.2  8.5  0.3
Seosan  2007  40  6.06  7.3  1.2  0.0  0.9
Seosan  2007  41  11.58  8.0  -1.1  0.0  2.0
Seosan  2007  42  14.97  5.9  -3.9  0.0  2.8
Seosan  2007  43  13.71  8.5  -4.9  0.0  1.4
Seosan  2007  44  4.02  10.3  -2.2  17.0  0.3
Seosan  2007  45  12.01  5.5  -0.8  0.0  2.4
Seosan  2007  46  15.15  6.1  -4.1  0.0  1.6
Seosan  2007  47  15.86  10.6  -5.1  0.0  2.8
Seosan  2007  48  5.75  9.6  0.3  0.0  1.3
Seosan  2007  49  15.54  12.5  -1.5  0.0  2.9
Seosan  2007  50  14.88  10.6  -4.0  0.0  1.7
Seosan  2007  51  15.31  12.8  -5.0  0.0  1.8
Seosan  2007  52  12.22  11.6  -2.9  0.0  1.6
