[weather.met.weather]
!Title  =  Namwon  2007-2020
latitude  =35.9744
Longitude  =128.9537
!  TAV  and  AMP  inserted  by  'tav_amp'  on  31/12/2020  at  10:00  for  period  from      1/2007  to  366/2020  (ddd/yyyy)
tav  =    13.13  (oC)          !  annual  average  ambient  temperature
amp  =    17.54  (oC)          !  annual  amplitude  in  mean  monthly  temperature
  
  
site  year  day  radn  maxt  mint  rain  evap
()  ()  ()  (MJ/m2)  (oC)  (oC)  (mm)  (mm)
Yeongcheon  2007  1  4.32  10.6  -5.5  0.0  0.681
Yeongcheon  2007  2  5.775  13.8  -0.5  0.0  0.632
Yeongcheon  2007  3  3.296  8.8  -0.2  0.0  0.76
Yeongcheon  2007  4  4.824  10.0  -2.5  0.0  0.569
Yeongcheon  2007  5  4.577  10.8  -1.7  0.0  0.559
Yeongcheon  2007  6  4.794  6.0  -2.7  0.0  1.084
Yeongcheon  2007  7  6.343  3.2  -3.7  0.0  1.349
Yeongcheon  2007  8  6.969  4.5  -2.4  0.0  1.377
Yeongcheon  2007  9  7.133  6.3  -5.8  0.0  0.949
Yeongcheon  2007  10  7.097  6.3  -6.4  0.0  0.928
Yeongcheon  2007  11  6.455  5.6  -9.0  0.0  0.695
Yeongcheon  2007  12  5.877  4.5  -6.8  0.0  1.266
Yeongcheon  2007  13  6.654  2.7  -5.3  0.0  1.113
Yeongcheon  2007  14  7.371  6.0  -7.9  0.0  1.237
Yeongcheon  2007  15  7.067  8.8  -9.3  0.0  0.641
Yeongcheon  2007  16  3.525  7.6  -2.5  0.0  0.911
Yeongcheon  2007  17  5.001  8.8  -0.6  0.0  1.232
Yeongcheon  2007  18  6.838  8.8  -5.8  0.0  1.365
Yeongcheon  2007  19  7.507  8.1  -10.8  0.0  0.66
Yeongcheon  2007  20  3.974  7.3  -4.6  0.0  0.594
Yeongcheon  2007  21  5.483  10.8  -3.0  0.0  0.612
Yeongcheon  2007  22  7.858  9.1  -6.4  0.0  0.844
Yeongcheon  2007  23  5.699  9.8  -7.0  0.0  0.667
Yeongcheon  2007  24  7.457  10.6  -4.9  0.0  0.824
Yeongcheon  2007  25  8.515  9.3  -8.1  0.0  0.907
Yeongcheon  2007  26  5.095  6.5  -8.3  0.5  0.693
Yeongcheon  2007  27  4.551  4.6  -3.2  0.0  0.847
Yeongcheon  2007  28  8.686  6.0  -7.3  0.0  0.858
Yeongcheon  2007  29  9.187  8.5  -8.0  0.0  0.705
Yeongcheon  2007  30  6.511  7.3  -9.1  0.0  0.923
Yeongcheon  2007  31  9.464  4.4  -3.9  0.0  1.612
Yeongcheon  2007  32  9.53  1.3  -6.0  0.0  1.359
Yeongcheon  2007  33  10.2  3.5  -7.5  0.0  1.322
Yeongcheon  2007  34  10.423  9.0  -6.4  0.0  1.579
Yeongcheon  2007  35  10.497  13.6  -4.5  0.0  1.213
Yeongcheon  2007  36  9.498  14.5  -7.6  0.0  1.127
Yeongcheon  2007  37  9.182  16.2  -3.7  0.0  1.05
Yeongcheon  2007  38  9.249  16.2  -2.0  0.0  1.102
Yeongcheon  2007  39  4.085  9.6  5.5  16.0  0.717
Yeongcheon  2007  40  5.066  9.6  4.5  0.5  0.98
Yeongcheon  2007  41  7.323  8.8  0.6  0.0  1.477
Yeongcheon  2007  42  11.677  9.5  -1.1  0.0  1.779
Yeongcheon  2007  43  11.041  10.1  -4.8  0.0  1.199
Yeongcheon  2007  44  7.418  12.6  -5.8  17.0  0.95
Yeongcheon  2007  45  9.584  8.8  -1.7  6.0  1.902
Yeongcheon  2007  46  12.346  6.9  -3.2  0.0  2.205
Yeongcheon  2007  47  12.19  11.0  -7.0  0.0  1.29
Yeongcheon  2007  48  4.44  6.8  -0.8  4.0  0.726
Yeongcheon  2007  49  8.632  13.5  0.8  0.0  1.068
Yeongcheon  2007  50  12.123  14.6  0.3  0.0  1.374
Yeongcheon  2007  51  11.287  15.3  -2.7  0.0  1.307
Yeongcheon  2007  52  12.131  17.0  -3.7  0.0  1.351
Yeongcheon  2007  53  9.328  15.1  -4.3  0.0  1.193
Yeongcheon  2007  54  12.82  13.6  -1.6  0.0  1.642
Yeongcheon  2007  55  6.373  8.8  -4.8  0.0  0.881
Yeongcheon  2007  56  8.762  10.3  0.2  0.0  1.21
Yeongcheon  2007  57  11.701  13.5  -3.0  0.0  1.339
Yeongcheon  2007  58  12.311  16.3  -4.0  0.0  1.662
Yeongcheon  2007  59  13.63  11.8  -1.7  0.0  1.97
Yeongcheon  2007  60  11.51  15.3  -5.3  0.0  1.496
Yeongcheon  2007  61  5.27  12.0  3.5  3.0  1.001
Yeongcheon  2007  62  7.913  17.0  8.3  0.0  1.377
Yeongcheon  2007  63  5.093  15.1  9.5  25.5  1.07
Yeongcheon  2007  64  11.293  14.6  -2.9  0.5  1.993
Yeongcheon  2007  65  14.557  3.0  -6.1  0.0  1.949
Yeongcheon  2007  66  14.835  4.5  -5.1  0.0  1.992
Yeongcheon  2007  67  14.563  8.5  -2.2  0.0  2.123
Yeongcheon  2007  68  13.732  11.8  -2.2  0.0  1.944
Yeongcheon  2007  69  12.612  15.1  -2.0  0.0  2.099
Yeongcheon  2007  70  14.189  7.4  -4.0  0.0  2.506
Yeongcheon  2007  71  14.372  11.1  -0.2  0.0  2.863
Yeongcheon  2007  72  12.48  12.8  -2.2  0.0  2.33
Yeongcheon  2007  73  12.654  14.3  -3.4  0.0  1.831
Yeongcheon  2007  74  8.828  14.0  2.0  0.0  1.487
Yeongcheon  2007  75  10.61  11.1  3.2  0.0  1.934
Yeongcheon  2007  76  6.929  7.0  0.2  1.0  1.115
Yeongcheon  2007  77  12.774  13.0  -3.5  0.0  1.703
Yeongcheon  2007  78  9.261  11.1  -1.2  0.0  1.421
Yeongcheon  2007  79  12.049  12.1  1.3  0.0  1.796
Yeongcheon  2007  80  13.784  15.5  -2.2  0.0  2.011
Yeongcheon  2007  81  15.237  17.8  -1.3  0.0  2.3
Yeongcheon  2007  82  15.123  22.2  -0.8  0.0  2.777
Yeongcheon  2007  83  7.376  17.2  8.1  5.5  1.546
Yeongcheon  2007  84  16.478  19.6  8.3  0.0  3.861
Yeongcheon  2007  85  14.265  21.2  5.1  0.5  2.876
Yeongcheon  2007  86  11.432  20.2  5.9  1.0  2.409
Yeongcheon  2007  87  15.419  22.3  2.0  3.0  2.854
Yeongcheon  2007  88  6.506  13.1  6.3  20.5  1.335
Yeongcheon  2007  89  13.544  17.2  6.0  0.0  2.255
Yeongcheon  2007  90  8.321  15.3  8.5  11.5  1.681
Yeongcheon  2007  91  8.472  15.1  6.6  0.0  2.423
Yeongcheon  2007  92  17.328  14.1  3.9  0.0  3.541
Yeongcheon  2007  93  17.404  12.3  -0.1  0.0  3.2
Yeongcheon  2007  94  16.346  13.3  0.3  0.5  2.704
Yeongcheon  2007  95  16.934  17.2  -2.7  0.0  2.536
Yeongcheon  2007  96  16.071  20.2  0.5  0.0  2.91
Yeongcheon  2007  97  17.595  19.3  5.0  0.0  3.682
Yeongcheon  2007  98  14.64  17.3  0.6  0.0  2.54
Yeongcheon  2007  99  18.362  19.7  -0.4  0.0  2.978
Yeongcheon  2007  100  17.068  21.3  -0.5  0.0  2.966
Yeongcheon  2007  101  15.45  19.0  6.3  0.0  2.806
Yeongcheon  2007  102  13.928  22.2  5.0  0.0  2.824
Yeongcheon  2007  103  14.617  22.6  7.4  13.5  2.923
Yeongcheon  2007  104  18.486  22.0  3.5  0.0  3.47
Yeongcheon  2007  105  14.194  19.0  4.1  3.5  2.605
Yeongcheon  2007  106  6.901  9.1  2.2  12.0  1.314
Yeongcheon  2007  107  14.83  15.1  1.2  0.0  2.304
Yeongcheon  2007  108  16.271  16.1  4.5  0.0  2.627
Yeongcheon  2007  109  18.144  21.5  1.1  0.0  3.351
Yeongcheon  2007  110  13.906  20.7  5.1  0.0  3.38
Yeongcheon  2007  111  15.135  24.6  14.0  0.0  3.738
Yeongcheon  2007  112  8.502  21.3  9.3  0.0  2.419
Yeongcheon  2007  113  18.681  18.6  4.9  0.0  3.55
