[weather.met.weather]
!Title  =  Namwon  2007-2020
latitude  =34.7362
Longitude  =127.7428
!  TAV  and  AMP  inserted  by  'tav_amp'  on  31/12/2020  at  10:00  for  period  from      1/2007  to  366/2020  (ddd/yyyy)
tav  =    14.74  (oC)          !  annual  average  ambient  temperature
amp  =    14.99  (oC)          !  annual  amplitude  in  mean  monthly  temperature
  
  
site  year  day  radn  maxt  mint  rain  evap
()  ()  ()  (MJ/m2)  (oC)  (oC)  (mm)  (mm)
Yeosu  2007  1  3.29  8.3  4.3  0.5  0.5
Yeosu  2007  2  6.081  10.1  5.8  0.0  1.6
Yeosu  2007  3  4.195  9.6  6.0  0.0  3.8
Yeosu  2007  4  8.095  9.6  5.8  0.0  3.4
Yeosu  2007  5  5.729  9.8  5.9  0.0  2.6
Yeosu  2007  6  6.778  6.8  -1.2  0.0  2.4
Yeosu  2007  7  8.521  4.5  -1.5  0.0  3.0
Yeosu  2007  8  8.691  4.5  0.3  0.0  3.0
Yeosu  2007  9  9.555  6.8  -1.0  0.0  2.6
Yeosu  2007  10  9.593  7.0  -0.2  0.0  2.7
Yeosu  2007  11  9.285  7.0  0.2  0.0  2.7
Yeosu  2007  12  5.688  5.4  -0.8  0.0  2.7
Yeosu  2007  13  8.806  3.5  -2.0  0.0  3.2
Yeosu  2007  14  9.764  5.9  -2.7  0.0  4.3
Yeosu  2007  15  5.209  7.6  1.2  0.0  1.0
Yeosu  2007  16  3.532  5.6  4.0  3.0  0.7
Yeosu  2007  17  7.196  8.8  3.0  0.0  0.7
Yeosu  2007  18  9.673  8.8  1.3  0.0  4.2
Yeosu  2007  19  8.933  8.3  -0.6  0.0  2.7
Yeosu  2007  20  8.114  9.1  3.0  0.0  2.2
Yeosu  2007  21  7.87  10.6  4.4  0.0  2.8
Yeosu  2007  22  9.451  8.5  3.5  0.0  3.2
Yeosu  2007  23  4.88  8.3  3.5  0.0  2.2
Yeosu  2007  24  9.932  10.8  2.2  0.0  3.8
Yeosu  2007  25  9.621  9.5  0.0  0.0  2.7
Yeosu  2007  26  6.026  7.3  1.3  3.5  1.2
Yeosu  2007  27  9.291  6.6  0.5  0.0  2.7
Yeosu  2007  28  7.24  4.5  -0.8  0.0  1.6
Yeosu  2007  29  10.623  7.0  -1.2  0.0  2.4
Yeosu  2007  30  8.863  6.6  -0.6  0.0  2.5
Yeosu  2007  31  9.535  5.0  -1.2  0.0  2.7
Yeosu  2007  32  10.986  2.0  -2.9  0.0  3.0
Yeosu  2007  33  11.136  3.0  -3.7  0.0  3.4
Yeosu  2007  34  10.665  8.6  -3.0  0.0  2.8
Yeosu  2007  35  11.05  10.0  1.7  0.0  2.4
